"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2001","2001","M3","Cubic metres","6","Millions",,,0.253,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2005","2005","M3","Cubic metres","6","Millions",,,0.231,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2009","2009","M3","Cubic metres","6","Millions",,,33,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2010","2010","M3","Cubic metres","6","Millions",,,77,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2011","2011","M3","Cubic metres","6","Millions",,,121,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2015","2015","M3","Cubic metres","6","Millions",,,144.152,"B","Break"
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2016","2016","M3","Cubic metres","6","Millions",,,148.908,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2017","2017","M3","Cubic metres","6","Millions",,,202.822,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2018","2018","M3","Cubic metres","6","Millions",,,171.693,,
"AUS","Australia","NF_PUB","Public water supply - non-freshwater","2019","2019","M3","Cubic metres","6","Millions",,,131.636,,
"AUS","Australia","NF_ELECCOOL","Electricity production (cooling). Non-freshwater","2005","2005","M3","Cubic metres","6","Millions",,,5927.76,,
"AUS","Australia","REUSE","Total abstractions of reused water","2001","2001","M3","Cubic metres","6","Millions",,,506.92,,
"AUS","Australia","REUSE","Total abstractions of reused water","2005","2005","M3","Cubic metres","6","Millions",,,424.615,,
"AUS","Australia","REUSE","Total abstractions of reused water","2009","2009","M3","Cubic metres","6","Millions",,,327,,
"AUS","Australia","REUSE","Total abstractions of reused water","2010","2010","M3","Cubic metres","6","Millions",,,340,,
"AUS","Australia","REUSE","Total abstractions of reused water","2011","2011","M3","Cubic metres","6","Millions",,,351,,
"AUS","Australia","REUSE","Total abstractions of reused water","2015","2015","M3","Cubic metres","6","Millions",,,326.302,"B","Break"
"AUS","Australia","REUSE","Total abstractions of reused water","2016","2016","M3","Cubic metres","6","Millions",,,333.79,,
"AUS","Australia","REUSE","Total abstractions of reused water","2017","2017","M3","Cubic metres","6","Millions",,,312.585,,
"AUS","Australia","REUSE","Total abstractions of reused water","2018","2018","M3","Cubic metres","6","Millions",,,318.069,,
"AUS","Australia","REUSE","Total abstractions of reused water","2019","2019","M3","Cubic metres","6","Millions",,,326.575,,
"AUS","Australia","REUSE","Total abstractions of reused water","2020","2020","M3","Cubic metres","6","Millions",,,308.125,,
"AUS","Australia","REUSE","Total abstractions of reused water","2021","2021","M3","Cubic metres","6","Millions",,,297.307,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2001","2001","M3","Cubic metres","6","Millions",,,7.474,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2005","2005","M3","Cubic metres","6","Millions",,,13.035,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2009","2009","M3","Cubic metres","6","Millions",,,27,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2010","2010","M3","Cubic metres","6","Millions",,,30,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2011","2011","M3","Cubic metres","6","Millions",,,32,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2015","2015","M3","Cubic metres","6","Millions",,,28.194,"B","Break"
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2016","2016","M3","Cubic metres","6","Millions",,,30.193,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2017","2017","M3","Cubic metres","6","Millions",,,23.842,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2018","2018","M3","Cubic metres","6","Millions",,,18.807,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2019","2019","M3","Cubic metres","6","Millions",,,22.077,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2020","2020","M3","Cubic metres","6","Millions",,,23.174,,
"AUS","Australia","REUSE_MANU","Abstractions for manufacturing. Reused water","2021","2021","M3","Cubic metres","6","Millions",,,25.288,,
"AUS","Australia","LOSS_TOT","Total losses during transport","2001","2001","M3","Cubic metres","6","Millions",,,2117.01,,
"AUS","Australia","LOSS_TOT","Total losses during transport","2005","2005","M3","Cubic metres","6","Millions",,,2022.07,,
"AUS","Australia","LOSS_TOT","Total losses during transport","2009","2009","M3","Cubic metres","6","Millions",,,2206,,
"AUS","Australia","LOSS_TOT","Total losses during transport","2010","2010","M3","Cubic metres","6","Millions",,,1805,,
"AUS","Australia","LOSS_TOT","Total losses during transport","2011","2011","M3","Cubic metres","6","Millions",,,1430,,
"AUS","Australia","PUB","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,3453,,
"AUS","Australia","PUB","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,3196,,
"AUS","Australia","PUB","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,2952,,
"AUS","Australia","PUB","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,4686,,
"AUS","Australia","PUB","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,5390,,
"AUS","Australia","PUB","Public water supply","2014","2014","M3","Cubic metres","6","Millions",,,5308,,
"AUS","Australia","PUB","Public water supply","2015","2015","M3","Cubic metres","6","Millions",,,3453.454,"B","Break"
"AUS","Australia","PUB","Public water supply","2016","2016","M3","Cubic metres","6","Millions",,,3528.959,,
"AUS","Australia","PUB","Public water supply","2017","2017","M3","Cubic metres","6","Millions",,,3423.44,,
"AUS","Australia","PUB","Public water supply","2018","2018","M3","Cubic metres","6","Millions",,,3633.213,,
"AUS","Australia","PUB","Public water supply","2019","2019","M3","Cubic metres","6","Millions",,,3717.863,,
"AUS","Australia","PUB","Public water supply","2020","2020","M3","Cubic metres","6","Millions",,,3630.976,,
