h20_variable,mean,median,std,min,max,count,Country
Abstractions for irrigation. Reused water,95.48425,97.115,10.088384521319556,83.4,104.307,4,Australia
Abstractions for manufacturing. Reused water,22.36375,24.564999999999998,8.175685742318063,7.474,32.0,8,Australia
Electricity production (cooling). Non-freshwater,5927.76,5927.76,,5927.76,5927.76,1,Australia
Public water supply,3706.698857142857,3453.454,778.2778783850124,2952.0,5390.0,7,Australia
Public water supply - non-freshwater,90.44200000000001,121.0,79.28474959074201,0.231,202.822,7,Australia
"Public water supply for agriculture, forestry and fishing",500.822,591.447,203.25449662922588,179.0,673.973,7,Australia
Public water supply for electricity,32.69785714285714,31.198,14.884306146951914,14.173,54.0,7,Australia
Public water supply for households,1692.0484285714285,1683.0,89.23377826035963,1555.0,1801.924,7,Australia
Public water supply for mining and quarrying,44.99957142857143,40.692,13.268269729661348,34.0,72.0,7,Australia
Public water supply for total manufacturing,251.53214285714284,237.089,33.15923934304771,211.163,297.0,7,Australia
Self- and other supply ,12537.243857142856,12693.643,1428.966440833307,10757.0,14746.0,7,Australia
Self- and other supply - Households,156.6,145.0,25.774017925034503,140.0,201.0,5,Australia
"Self- and other supply for agriculture, fishing and forestry",9337.367571428571,9319.28,1781.4202550913185,7406.0,12450.0,7,Australia
Self- and other supply for electricity production and distribution,261.2777142857143,293.0,81.97269814540749,162.819,364.0,7,Australia
Self- and other supply for mining and quarrying.,1043.1064285714285,1159.575,229.3208424819232,783.0,1291.432,7,Australia
Self- and other supply for total manufacturing,311.60485714285716,300.289,26.036763997781883,280.0,351.0,7,Australia
Total abstractions of reused water,359.038,326.7875,71.06793668837489,297.307,506.92,8,Australia
Total desalinated water. Non-freshwater,213.80349999999999,186.2565,86.20030047318089,147.459,335.242,4,Australia
Total losses during transport,1943.77,2069.54,350.650430581037,1430.0,2206.0,4,Australia
Abstractions for irrigation. Reused water,0.0,0.0,0.0,0.0,0.0,4,Austria
Abstractions for manufacturing. Reused water,0.0,0.0,0.0,0.0,0.0,4,Austria
Exported water,0.0,0.0,0.0,0.0,0.0,11,Austria
Imported water,0.0,0.0,0.0,0.0,0.0,11,Austria
Public water supply,597.625,607.7,33.44282434245054,549.3,625.8,4,Austria
Public water supply for households,371.31166666666667,351.2,49.63281189562674,337.4,469.0,6,Austria
Self- and other supply - Households,27.6,27.6,0.0,27.6,27.6,2,Austria
Total abstractions of reused water,0.0,0.0,0.0,0.0,0.0,4,Austria
"Abstractions for agriculture, forestry, fishing. Non-freshwater",0.0,0.0,0.0,0.0,0.0,14,Belgium
"Abstractions for agriculture, forestry, fishing. Reused water",0.0,0.0,,0.0,0.0,1,Belgium
Abstractions for aquaculture. Non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for cooling (manufacturing). Non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for electricity production (cooling). Reused water,0.0,0.0,,0.0,0.0,1,Belgium
Abstractions for hydro-electricity,0.0,0.0,0.0,0.0,0.0,11,Belgium
Abstractions for irrigation. Non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for manufacturing cooling. Reused water,0.0,0.0,,0.0,0.0,1,Belgium
Abstractions for manufacturing. Non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for services - desalinated water,0.0,0.0,0.0,0.0,0.0,4,Belgium
Abstractions for services - non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for services - reused water,0.0,0.0,,0.0,0.0,1,Belgium
Abstractions from artificial reservoirs ,151.40883333333332,211.9075,103.72712358764541,0.0,225.521,6,Belgium
Electricity production (cooling). Non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Evaporation losses,59.0982,60.778999999999996,21.003132839332956,26.513,83.0,10,Belgium
Exported water,2.533,3.153,1.2997855592365997,0.217,3.21,5,Belgium
Imported water,38.80788888888889,69.461,36.81738579613049,0.0,70.428,9,Belgium
Leakage,137.6798,140.909,8.107856749268992,123.0,147.0,10,Belgium
Public water supply,555.0993846153846,570.9,69.45094246245384,409.6,660.4,13,Belgium
"Public water supply for agriculture, forestry and fishing",11.567307692307692,10.667,2.360833694009223,9.184,16.0,13,Belgium
Public water supply for basic metals,2.473,2.186,0.8449181025401218,1.493,4.5,11,Belgium
"Public water supply for chemicals, refined petroleum etc",62.212818181818186,60.968,7.399764980297438,52.595,72.09,11,Belgium
Public water supply for construction,0.2,0.2,,0.2,0.2,1,Belgium
Public water supply for cooling (electricity),0.3177,0.298,0.08681916071160022,0.176,0.457,10,Belgium
Public water supply for cooling (manufacturing),18.5409,19.918,3.604427599803085,13.976,24.167,10,Belgium
Public water supply for electricity,1.6627692307692308,1.745,0.6040077474456426,0.81,3.0,13,Belgium
Public water supply for food processing industry,22.65309090909091,22.718,2.757247593327283,16.9,26.906,11,Belgium
Public water supply for households,372.4309090909091,366.597,25.00872378772872,332.469,432.4,11,Belgium
Public water supply for industrial activities,97.9,97.9,,97.9,97.9,1,Belgium
Public water supply for industry and construction,102.77046153846155,101.6,7.5671524985226375,92.078,112.928,13,Belgium
Public water supply for mining and quarrying,0.14063636363636364,0.136,0.04150487375543438,0.075,0.204,11,Belgium
Public water supply for other manufacturing industries,7.4395,7.0545,1.8669196405963597,4.853,10.055,10,Belgium
Public water supply for paper products,2.3017,2.1470000000000002,0.4675862487285103,1.93,3.309,10,Belgium
Public water supply for services,94.29381818181818,91.579,10.79630346755946,76.538,114.1,11,Belgium
Public water supply for textiles,1.7006000000000001,1.541,0.5074043314316066,1.245,3.063,10,Belgium
Public water supply for total manufacturing,100.22376923076924,101.9,7.891128216271803,90.306,110.025,13,Belgium
Public water supply transport vehicles and equipment,0.303,0.303,,0.303,0.303,1,Belgium
Self- and other supply ,5153.4006,5247.246999999999,1158.4987608224517,3531.346,6819.734,10,Belgium
Self- and other supply - Households,3.4176,3.455,0.1645500261656347,3.085,3.64,10,Belgium
Self- and other supply - Other manufacturing,38.6833,39.4445,5.300872172472082,30.876,46.778,10,Belgium
Self- and other supply - Services,239.1601,223.8125,45.29336876519564,197.831,347.269,10,Belgium
"Self- and other supply for agriculture, fishing and forestry",43.5028,43.198,6.121252736708939,34.903,54.902,10,Belgium
Self- and other supply for basic metals,157.8422,125.661,124.45215600810886,39.756,366.444,10,Belgium
"Self- and other supply for chemicals, refined petroleum etc",850.2786,858.309,39.57427934684623,766.326,910.514,10,Belgium
Self- and other supply for electricity production (cooling),3466.4428,3737.652,903.8513987346719,2144.724,4601.741,10,Belgium
Self- and other supply for electricity production and distribution,3515.6417,3773.0215,894.1449371331812,2170.081,4637.824,10,Belgium
Self- and other supply for food processing industry,91.34360000000001,90.701,4.882388764164977,82.403,98.266,10,Belgium
Self- and other supply for industry and contruction,4769.8312,4999.2235,1040.2015384744543,3210.279,6127.431,10,Belgium
Self- and other supply for manufacturing (cooling),857.3793,821.6195,120.61634645625588,697.822,1059.546,10,Belgium
Self- and other supply for mining and quarrying.,34.5028,36.493,7.344167418207913,22.027,43.353,10,Belgium
Self- and other supply for paper products,47.8829,48.6305,3.0610241731957775,43.685,52.301,10,Belgium
Self- and other supply for textiles,6.2262,4.6325,3.775558407558925,2.456,12.195,10,Belgium
Self- and other supply for total manufacturing,1192.2666,1148.9724999999999,155.56796742488845,999.06,1428.364,10,Belgium
Total gross abstraction non-freshwater,0.0,0.0,0.0,0.0,0.0,14,Belgium
Total gross abstraction. Desalinated water,0.007714285714285714,0.0,0.02886421412654183,0.0,0.108,14,Belgium
Total losses during transport,195.0824,190.23399999999998,17.380087809521175,168.858,218.0,10,Belgium
Total water made available for use,5699.613625,6161.3,1104.5493364636395,4022.294,6969.4,8,Belgium
Water abstraction for public water supply. Desalinated water,0.0,0.0,0.0,0.0,0.0,14,Belgium
Abstractions for manufacturing. Non-freshwater,136.4142857142857,135.9,40.99578956313394,90.6,190.7,7,Canada
Abstractions for manufacturing. Reused water,2511.6428571428573,2593.2,392.36477440065397,2004.5,3164.1,7,Canada
Electricity production (cooling). Non-freshwater,2790.933333333333,3008.5,415.61357452967457,2311.7,3052.6,3,Canada
Public water supply,4497.146833333333,4420.550499999999,389.8760774725306,4066.629,5201.0,6,Canada
"Public water supply for agriculture, forestry and fishing",0.3722,0.346,0.15046660759118616,0.172,0.585,5,Canada
Public water supply for basic metals,66.5,66.5,9.192388155425117,60.0,73.0,2,Canada
