land_variable,mean,median,std,min,max,count,Country
Arable and cropland % land area,57.00913333333333,57.068,0.20304217249016215,56.521,57.274,15,India
Arable land and permanent crops,1694988.8,1696740.0,6032.9470434083105,1680480.0,1702860.0,15,India
Forest,689202.0666666667,689245.0,22249.564350363158,650339.0,724264.0,15,India
Forest % land area,23.180600000000002,23.182,0.7483697329147248,21.873,24.36,15,India
Land area,2973190.0,2973190.0,0.0,2973190.0,2973190.0,15,India
Meadows and pastures % land area,3.5483333333333333,3.515,0.09689881811653303,3.449,3.732,15,India
Other % land area,16.2622,16.363,0.489848693840395,15.594,17.121,15,India
Other areas,483500.9266666667,486495.0,14563.957717180105,463646.5,509031.0,15,India
Permanent meadows and pastures,105498.22666666665,104500.0,2882.831700767904,102560.0,110960.0,15,India
Total area,3287260.0,3287260.0,0.0,3287260.0,3287260.0,15,India
Arable and cropland % land area,10.871866666666667,10.862,0.15906192265308208,10.648,11.275,15,Switzerland
Arable land and permanent crops,4296.302466666666,4292.065,63.55918117658657,4206.904,4456.868,15,Switzerland
Forest,12217.196,12231.58,338.40810773806385,11663.04,12725.5,15,Switzerland
Forest % land area,30.91593333333333,30.954,0.862126976616279,29.505,32.209,15,Switzerland
Land area,39517.532,39515.02,7.505672331166548,39509.63,39529.67,15,Switzerland
Meadows and pastures % land area,28.1988,28.219,0.5889483605788972,27.302,29.305,15,Switzerland
Other % land area,30.013266666666667,29.963,0.14387170210526734,29.842,30.258,15,Switzerland
Other areas,11860.478000000001,11839.75,59.15060200152408,11790.35,11960.7,15,Switzerland
Permanent meadows and pastures,11143.554666666667,11150.68,234.76343512038778,10786.88,11584.17,15,Switzerland
Total area,41290.7,41290.7,0.0,41290.7,41290.7,15,Switzerland
Arable and cropland % land area,36.967933333333335,34.493,4.805520641730221,32.703,44.118,15,Czech Republic
Arable land and permanent crops,28555.862,26645.6,3721.0596879387535,25242.72,34090.0,15,Czech Republic
Forest,26527.360666666664,26513.53,161.95269390723055,26317.81,26789.0,15,Czech Republic
Forest % land area,34.343266666666665,34.322,0.22250408235955058,34.06,34.707,15,Czech Republic
Land area,77242.15533333334,77250.0,29.456526045455462,77186.83,77270.0,15,Czech Republic
Meadows and pastures % land area,12.150866666666667,12.295,0.5912730655925713,11.037,13.027,15,Czech Republic
Other % land area,16.5382,19.119,4.442800792936174,10.463,20.191,15,Czech Republic
Other areas,12773.477333333334,14769.47,3428.5840959291404,8084.971,15593.78,15,Czech Republic
Permanent meadows and pastures,9385.455266666666,9500.0,454.10661956707685,8527.4,10055.25,15,Czech Republic
Total area,78870.072,78870.0,0.26798720651607544,78870.0,78871.04,15,Czech Republic
Arable and cropland % land area,24.627454545454544,24.671,0.2512729048808742,24.083,24.996,11,Luxembourg
Arable land and permanent crops,634.0245454545454,635.15,6.468093016703412,620.0,643.5,11,Luxembourg
Forest,882.4545454545455,887.0,6.578200914591152,869.0,887.0,11,Luxembourg
Forest % land area,34.27736363636364,34.454,0.25554384075037717,33.755,34.454,11,Luxembourg
Land area,2574.46,2574.46,0.0,2574.46,2574.46,11,Luxembourg
Meadows and pastures % land area,26.048272727272728,26.169,0.44004819983931126,25.248,26.622,11,Luxembourg
Other % land area,15.046999999999999,14.708,0.8144278973610861,14.053,16.526,11,Luxembourg
Other areas,387.37727272727267,378.66,20.968109638643686,361.79,425.46,11,Luxembourg
Permanent meadows and pastures,670.6036363636364,673.7,11.330142340436211,650.0,685.37,11,Luxembourg
Total area,2590.0,2590.0,0.0,2590.0,2590.0,11,Luxembourg
Arable and cropland % land area,3.4125333333333336,3.481,0.6797356488966518,2.218,4.176,15,Australia
Arable land and permanent crops,262228.0,267420.0,52296.24381485593,170400.0,320780.0,15,Australia
Forest,1320679.2666666666,1320209.0,14554.402227832039,1297729.0,1340174.0,15,Australia
Forest % land area,17.186866666666667,17.185,0.18324607447234356,16.892,17.423,15,Australia
Land area,7684244.0,7682300.0,4024.4623420848034,7682300.0,7692020.0,15,Australia
Meadows and pastures % land area,49.8696,48.791,6.138113900632902,41.228,58.101,15,Australia
Other % land area,29.531266666666667,31.195,5.504395911667414,22.388,37.361,15,Australia
Other areas,2269363.8,2396480.0,423595.7364653238,1719939.0,2870165.0,15,Australia
Permanent meadows and pastures,3831973.0,3748255.0,470615.37206163834,3167220.0,4463480.0,15,Australia
Total area,7741220.0,7741220.0,0.0,7741220.0,7741220.0,15,Australia
Arable and cropland % land area,7.6442,7.538,0.16499272711243948,7.533,8.013,15,Russia
Arable land and permanent crops,1252022.0,1234420.0,27187.548935916555,1233680.0,1312950.0,15,Russia
Forest,8125698.0,8133755.0,26986.393801850954,8090455.0,8153116.0,15,Russia
Forest % land area,49.60926666666667,49.663,0.17288496037484058,49.374,49.784,15,Russia
Land area,16379357.333333334,16377740.0,3641.3899753227765,16376870.0,16388510.0,15,Russia
Meadows and pastures % land area,5.5545333333333335,5.621,0.111237112683202,5.312,5.623,15,Russia
Other % land area,37.19226666666667,37.181,0.12733783337847257,37.057,37.394,15,Russia
Other areas,6091850.933333334,6089355.0,21830.085944686307,6068814.0,6128244.0,15,Russia
Permanent meadows and pastures,909786.6666666666,920520.0,18132.748064784686,870000.0,920990.0,15,Russia
Total area,17098244.0,17098240.0,5.0709255287006485,17098240.0,17098250.0,15,Russia
Arable and cropland % land area,2.3472,2.347,0.14096716943013013,2.203,2.716,15,Norway
Arable land and permanent crops,8571.219333333334,8574.0,516.3236025854425,8045.06,9920.0,15,Norway
Forest,121275.13333333333,121187.0,257.62621502219497,121031.0,121878.0,15,Norway
Forest % land area,33.21253333333333,33.18,0.08939548300083093,33.137,33.458,15,Norway
Land area,365149.38,365244.0,249.14205987747965,364270.0,365244.0,15,Norway
Meadows and pastures % land area,0.4482,0.478,0.051214116357560166,0.337,0.495,15,Norway
Other % land area,63.991933333333336,64.007,0.09813217520020384,63.724,64.109,15,Norway
Other areas,233667.03333333333,233747.0,446.11206578403494,232552.0,234156.0,15,Norway
Permanent meadows and pastures,1635.9832666666666,1746.0,186.35163649113417,1230.0,1806.05,15,Norway
Total area,465141.1266666667,385178.0,117054.15473965436,385178.0,625218.0,15,Norway
Arable and cropland % land area,28.30046666666667,28.712,2.100908982412365,24.982,30.411,15,Greece
Arable land and permanent crops,36479.26333333333,37010.0,2708.1621739044094,32201.6,39200.0,15,Greece
Forest,37389.416,38113.31,1858.510519243835,33890.55,39018.03,15,Greece
Forest % land area,29.0064,29.568,1.4419304916871483,26.292,30.27,15,Greece
Land area,128900.0,128900.0,0.0,128900.0,128900.0,15,Greece
Meadows and pastures % land area,30.930466666666668,31.435,7.207981001904035,20.536,40.807,15,Greece
Other % land area,11.762533333333334,10.284,7.978560645940619,2.146,24.213,15,Greece
Other areas,15161.972933333334,13256.69,10284.334561769978,2766.096,31210.12,15,Greece
Permanent meadows and pastures,39869.348,40520.0,9291.077006215004,26470.28,52600.0,15,Greece
Total area,131960.0,131960.0,0.0,131960.0,131960.0,15,Greece
Arable and cropland % land area,32.72326666666667,32.338,2.0893197275212643,30.013,35.777,15,Türkiye
Arable land and permanent crops,251847.33333333334,248880.0,16079.31922273659,230990.0,275350.0,15,Türkiye
Forest,209010.39333333334,208026.6,8082.361293446949,198929.4,223763.6,15,Türkiye
Forest % land area,27.157266666666665,27.029,1.0501958638182463,25.847,29.074,15,Türkiye
Land area,769630.0,769630.0,0.0,769630.0,769630.0,15,Türkiye
Meadows and pastures % land area,18.313466666666667,18.992,1.2126161721469755,16.083,18.992,15,Türkiye
Other % land area,21.8062,22.17,0.9415601945706925,19.651,22.975,15,Türkiye
Other areas,167824.94,170623.9,7245.974642891642,151242.8,176821.1,15,Türkiye
Permanent meadows and pastures,140947.33333333334,146170.0,9333.356054394097,123780.0,146170.0,15,Türkiye
Total area,785350.0,785350.0,0.0,785350.0,785350.0,15,Türkiye
Arable and cropland % land area,18.4388,17.953,1.0781333869238983,17.3,20.193,15,United States
Arable land and permanent crops,1688000.5333333334,1644800.0,99679.76826881066,1582534.0,1849480.0,15,United States
Forest,3067377.6,3071648.0,29034.220520915092,3027758.0,3100950.0,15,United States
Forest % land area,33.507533333333335,33.526,0.3384706922671557,33.058,33.9,15,United States
Land area,9154364.0,9158960.0,6815.944332435527,9147420.0,9161920.0,15,United States
Meadows and pastures % land area,26.46013333333333,26.824,0.5329754573104071,25.635,27.11,15,United States
Other % land area,21.593533333333333,21.62,0.32953730910966383,20.764,22.036,15,United States
Other areas,1976731.4,1980785.0,29288.123672525533,1901722.0,2015700.0,15,United States
Permanent meadows and pastures,2422254.6666666665,2453736.0,47656.47892194817,2347930.0,2483776.0,15,United States
Total area,9724336.666666666,9632030.0,103776.08330760391,9629090.0,9831510.0,15,United States
Arable and cropland % land area,12.778866666666666,12.954,0.6253296121322923,11.384,13.449,15,Mexico
Arable land and permanent crops,248414.0,251820.0,12160.277722392462,221290.0,261450.0,15,Mexico
