country,forest_variable,mean,median,std,min,max,count
Australia,Fellings,21128.718363636362,26498.0,12420.991584724605,-329.07,33206.18,55
Austria,Fellings,13553.172041666667,14159.5,11170.84996992227,0.558,30416.0,24
Belgium,Fellings,3151.2727999999997,4389.0,2314.7684529038197,0.654,5289.0,15
Canada,Fellings,171590.35714285713,173065.0,22643.994794163304,118935.0,210871.0,28
Chile,Fellings,43336.2855,45645.92,38026.889773492716,0.427,126188.0,50
Colombia,Fellings,722.3192857142857,685.655,391.4471851685405,222.22,1504.3,14
Costa Rica,Fellings,507.45789473684215,541.0,112.02253402175371,205.0,703.7,19
Czech Republic,Fellings,12060.360105263158,11490.0,9630.161854208996,0.56,39626.0,152
Denmark,Fellings,2675.925785046729,2091.0,2308.0467779991063,0.457,7708.0,107
Estonia,Fellings,6409.569393442623,7453.7065,5313.389766869598,0.36,14171.139,122
Finland,Fellings,45074.751078260866,53309.9835,38615.46219449523,0.547,102971.0,230
France,Fellings,47669.32518103448,55641.557499999995,38930.321309251645,0.543,100581.0,116
Germany,Fellings,63104.67732679739,87237.812,51861.50547912224,0.531,124192.003,153
Greece,Fellings,1825.575074074074,1693.0,802.5086346718754,0.545,4117.0,27
Hungary,Fellings,5123.562458598726,5367.0,4292.0602658138905,0.507,13702.0,157
Iceland,Fellings,13.653045454545454,3.65,20.39994338033758,0.014,60.0,66
Ireland,Fellings,3396.1617083333335,3163.9,3160.868896107647,0.406,8532.0,72
Italy,Fellings,17085.779516129034,14327.0,12789.707411563988,0.311,38371.0,31
Japan,Fellings,27050.697347826088,26967.5,29124.217174496283,0.29,87143.0,46
Korea,Fellings,11514.555448818897,5457.0,13047.628356356776,0.123,41428.0,127
Latvia,Fellings,11257.70535652174,13633.648,9084.408420626647,0.401,26843.0,115
Lithuania,Fellings,6878.396,5180.0,5553.777669282474,0.546,17940.0,119
Luxembourg,Fellings,331.6727525773196,345.0,269.93084333252654,0.0,758.0,97
Mexico,Fellings,7643.380068965517,6664.72,5470.3543833652775,0.181,34747.0,29
Netherlands,Fellings,1199.9246507936507,1245.0,1043.3867565423072,0.444,2895.0,63
New Zealand,Fellings,18816.196756410256,19654.0,15375.967851132886,0.468,43058.0,78
Norway,Fellings,14486.851308510639,13336.0,11666.088237369586,0.381,31272.0,94
Portugal,Fellings,8793.974279069767,11501.143,6616.2118469033985,0.626,20197.0,43
Slovak Republic,Fellings,5662.540617391304,4727.0,4137.169257573454,0.514,12126.0,115
Slovenia,Fellings,5120.141541666667,5060.0,4006.7798699023533,0.244,10836.0,48
Spain,Fellings,18472.08842857143,19706.466,13197.030992364618,0.49,37194.659,21
Sweden,Fellings,46906.373,43341.3225,42043.60123792446,0.78,104096.625,32
Switzerland,Fellings,5151.188975,4939.5,4029.965084241196,0.685,12610.21,40
Türkiye,Fellings,18351.40710909091,16962.5,15563.784707709332,0.424,47600.0,110
United Kingdom,Fellings,10896.168466666666,10551.0,9226.075641851887,0.451,22987.0,15
United States,Fellings,424747.10577499995,408862.985,342978.23911973456,0.363,1132965.79,40
