country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
Australia,Oceania,Public water supply - non-freshwater,2001,Cubic metres,6,Millions,0.253,
Australia,Oceania,Public water supply - non-freshwater,2005,Cubic metres,6,Millions,0.231,
Australia,Oceania,Public water supply - non-freshwater,2009,Cubic metres,6,Millions,33.0,
Australia,Oceania,Public water supply - non-freshwater,2010,Cubic metres,6,Millions,77.0,
Australia,Oceania,Public water supply - non-freshwater,2011,Cubic metres,6,Millions,121.0,
Australia,Oceania,Public water supply - non-freshwater,2015,Cubic metres,6,Millions,144.152,Break
Australia,Oceania,Public water supply - non-freshwater,2016,Cubic metres,6,Millions,148.908,
Australia,Oceania,Public water supply - non-freshwater,2017,Cubic metres,6,Millions,202.822,
Australia,Oceania,Public water supply - non-freshwater,2018,Cubic metres,6,Millions,171.693,
Australia,Oceania,Public water supply - non-freshwater,2019,Cubic metres,6,Millions,131.636,
Australia,Oceania,Electricity production (cooling). Non-freshwater,2005,Cubic metres,6,Millions,5927.76,
Australia,Oceania,Total abstractions of reused water,2001,Cubic metres,6,Millions,506.92,
Australia,Oceania,Total abstractions of reused water,2005,Cubic metres,6,Millions,424.615,
Australia,Oceania,Total abstractions of reused water,2009,Cubic metres,6,Millions,327.0,
Australia,Oceania,Total abstractions of reused water,2010,Cubic metres,6,Millions,340.0,
Australia,Oceania,Total abstractions of reused water,2011,Cubic metres,6,Millions,351.0,
Australia,Oceania,Total abstractions of reused water,2015,Cubic metres,6,Millions,326.302,Break
Australia,Oceania,Total abstractions of reused water,2016,Cubic metres,6,Millions,333.79,
Australia,Oceania,Total abstractions of reused water,2017,Cubic metres,6,Millions,312.585,
Australia,Oceania,Total abstractions of reused water,2018,Cubic metres,6,Millions,318.069,
Australia,Oceania,Total abstractions of reused water,2019,Cubic metres,6,Millions,326.575,
Australia,Oceania,Total abstractions of reused water,2020,Cubic metres,6,Millions,308.125,
Australia,Oceania,Total abstractions of reused water,2021,Cubic metres,6,Millions,297.307,
Australia,Oceania,Abstractions for manufacturing. Reused water,2001,Cubic metres,6,Millions,7.474,
Australia,Oceania,Abstractions for manufacturing. Reused water,2005,Cubic metres,6,Millions,13.035,
Australia,Oceania,Abstractions for manufacturing. Reused water,2009,Cubic metres,6,Millions,27.0,
Australia,Oceania,Abstractions for manufacturing. Reused water,2010,Cubic metres,6,Millions,30.0,
Australia,Oceania,Abstractions for manufacturing. Reused water,2011,Cubic metres,6,Millions,32.0,
Australia,Oceania,Abstractions for manufacturing. Reused water,2015,Cubic metres,6,Millions,28.194,Break
Australia,Oceania,Abstractions for manufacturing. Reused water,2016,Cubic metres,6,Millions,30.193,
Australia,Oceania,Abstractions for manufacturing. Reused water,2017,Cubic metres,6,Millions,23.842,
Australia,Oceania,Abstractions for manufacturing. Reused water,2018,Cubic metres,6,Millions,18.807,
Australia,Oceania,Abstractions for manufacturing. Reused water,2019,Cubic metres,6,Millions,22.077,
Australia,Oceania,Abstractions for manufacturing. Reused water,2020,Cubic metres,6,Millions,23.174,
Australia,Oceania,Abstractions for manufacturing. Reused water,2021,Cubic metres,6,Millions,25.288,
Australia,Oceania,Total losses during transport,2001,Cubic metres,6,Millions,2117.01,
Australia,Oceania,Total losses during transport,2005,Cubic metres,6,Millions,2022.07,
Australia,Oceania,Total losses during transport,2009,Cubic metres,6,Millions,2206.0,
Australia,Oceania,Total losses during transport,2010,Cubic metres,6,Millions,1805.0,
Australia,Oceania,Total losses during transport,2011,Cubic metres,6,Millions,1430.0,
Australia,Oceania,Public water supply,2009,Cubic metres,6,Millions,3453.0,
Australia,Oceania,Public water supply,2010,Cubic metres,6,Millions,3196.0,
Australia,Oceania,Public water supply,2011,Cubic metres,6,Millions,2952.0,
Australia,Oceania,Public water supply,2012,Cubic metres,6,Millions,4686.0,
Australia,Oceania,Public water supply,2013,Cubic metres,6,Millions,5390.0,
Australia,Oceania,Public water supply,2014,Cubic metres,6,Millions,5308.0,
