ObjectId,ISO3,Indicator,Unit,Date,Value,Year
1,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M03,315.7,1958
2,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M04,317.45,1958
3,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M05,317.51,1958
4,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M06,317.24,1958
5,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M07,315.86,1958
6,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M08,314.93,1958
7,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M09,313.2,1958
8,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M10,312.43,1958
9,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M11,313.33,1958
10,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1958M12,314.67,1958
11,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M01,315.58,1959
12,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M02,316.48,1959
13,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M03,316.65,1959
14,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M03,0.3,1959
15,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M04,317.72,1959
16,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M04,0.09,1959
17,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M05,318.29,1959
18,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M05,0.25,1959
19,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M06,318.15,1959
20,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M06,0.29,1959
21,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M07,316.54,1959
22,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M07,0.22,1959
23,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M08,314.8,1959
24,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M08,-0.04,1959
25,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M09,313.84,1959
26,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M09,0.2,1959
27,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M10,313.33,1959
28,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M10,0.29,1959
29,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M11,314.81,1959
30,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M11,0.47,1959
31,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1959M12,315.58,1959
32,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1959M12,0.29,1959
33,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M01,316.43,1960
34,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M01,0.27,1960
35,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M02,316.98,1960
36,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M02,0.16,1960
37,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M03,317.58,1960
38,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M03,0.29,1960
39,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M04,319.03,1960
40,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M04,0.41,1960
41,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M05,320.04,1960
42,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M05,0.55,1960
43,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M06,319.59,1960
44,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M06,0.45,1960
45,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M07,318.18,1960
46,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M07,0.52,1960
47,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M08,315.9,1960
48,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M08,0.35,1960
49,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M09,314.17,1960
50,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M09,0.11,1960
51,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M10,313.83,1960
52,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M10,0.16,1960
53,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M11,315.0,1960
54,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M11,0.06,1960
55,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1960M12,316.19,1960
56,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1960M12,0.19,1960
57,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M01,316.89,1961
58,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M01,0.15,1961
59,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M02,317.7,1961
60,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M02,0.23,1961
61,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M03,318.54,1961
62,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M03,0.3,1961
63,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M04,319.48,1961
64,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M04,0.14,1961
65,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M05,320.58,1961
66,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M05,0.17,1961
67,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M06,319.77,1961
68,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M06,0.06,1961
69,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M07,318.57,1961
70,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M07,0.12,1961
71,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M08,316.79,1961
