ObjectId,ISO3,Indicator,Measure,Date,Value,Year
1,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D12/17/1992,-10.34,1992
2,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D12/17/1992,-18.46,1992
3,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D12/17/1992,-15.41,1992
4,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D12/17/1992,196.85,1992
5,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D12/17/1992,3.27,1992
6,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D12/17/1992,-13.58,1992
7,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D12/17/1992,-3.95,1992
8,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D12/17/1992,-27.63,1992
9,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D12/17/1992,-3.09,1992
10,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D12/17/1992,39.02,1992
11,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D12/17/1992,-3.13,1992
12,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D12/17/1992,19.59,1992
13,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D12/17/1992,44.01,1992
14,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D12/17/1992,-14.88,1992
15,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D12/17/1992,134.53,1992
16,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D12/17/1992,-46.65,1992
17,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D12/17/1992,-4.39,1992
18,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D12/17/1992,-4.6,1992
19,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D12/17/1992,-24.43,1992
20,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D12/17/1992,-19.64,1992
21,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D12/17/1992,-15.95,1992
