ObjectId,country,iso3,continent,indicator,unit,year,value
838213012,Advanced Economies,AETMP,,Carbon stocks in forests,Million tonnes,1992,52618.6601
838213012,Advanced Economies,AETMP,,Forest area,1000 HA,1992,945840.6089
838213012,Advanced Economies,AETMP,,Index of carbon stocks in forests,Index,1992,100.0
838213012,Advanced Economies,AETMP,,Index of forest extent,Index,1992,100.0
838213012,Advanced Economies,AETMP,,Land area,1000 HA,1992,2986568.57
838213012,Advanced Economies,AETMP,,Share of forest area,Percent,1992,31.6698105779637
599454134,"Afghanistan, Islamic Rep. of",AFG,Asia,Forest area,1000 HA,1992,1208.44
599454134,"Afghanistan, Islamic Rep. of",AFG,Asia,Index of forest extent,Index,1992,100.0
599454134,"Afghanistan, Islamic Rep. of",AFG,Asia,Land area,1000 HA,1992,65223.0
599454134,"Afghanistan, Islamic Rep. of",AFG,Asia,Share of forest area,Percent,1992,1.85278199408184
440093829,Africa,AFRTMP,,Carbon stocks in forests,Million tonnes,1992,55811.7552
440093829,Africa,AFRTMP,,Forest area,1000 HA,1992,685614.0711
440093829,Africa,AFRTMP,,Index of carbon stocks in forests,Index,1992,100.0
440093829,Africa,AFRTMP,,Index of forest extent,Index,1992,100.0
440093829,Africa,AFRTMP,,Land area,1000 HA,1992,2617083.5
440093829,Africa,AFRTMP,,Share of forest area,Percent,1992,26.1976383672894
473933700,Albania,ALB,Europe,Forest area,1000 HA,1992,784.9
473933700,Albania,ALB,Europe,Index of forest extent,Index,1992,100.0
473933700,Albania,ALB,Europe,Land area,1000 HA,1992,2740.0
473933700,Albania,ALB,Europe,Share of forest area,Percent,1992,28.6459854014599
265148921,Algeria,DZA,Africa,Carbon stocks in forests,Million tonnes,1992,30.8266
265148921,Algeria,DZA,Africa,Forest area,1000 HA,1992,1649.4
265148921,Algeria,DZA,Africa,Index of carbon stocks in forests,Index,1992,100.0
265148921,Algeria,DZA,Africa,Index of forest extent,Index,1992,100.0
265148921,Algeria,DZA,Africa,Land area,1000 HA,1992,238174.0
265148921,Algeria,DZA,Africa,Share of forest area,Percent,1992,0.692518914743003
291851932,American Samoa,ASM,North America,Carbon stocks in forests,Million tonnes,1992,1.1817
291851932,American Samoa,ASM,North America,Forest area,1000 HA,1992,18.002
291851932,American Samoa,ASM,North America,Index of carbon stocks in forests,Index,1992,100.0
291851932,American Samoa,ASM,North America,Index of forest extent,Index,1992,100.0
291851932,American Samoa,ASM,North America,Land area,1000 HA,1992,20.0
291851932,American Samoa,ASM,North America,Share of forest area,Percent,1992,90.01
266722182,Americas,AMETMP,,Carbon stocks in forests,Million tonnes,1992,143539.8246
266722182,Americas,AMETMP,,Forest area,1000 HA,1992,1710039.454
266722182,Americas,AMETMP,,Index of carbon stocks in forests,Index,1992,100.0
266722182,Americas,AMETMP,,Index of forest extent,Index,1992,100.0
266722182,Americas,AMETMP,,Land area,1000 HA,1992,3854096.6
266722182,Americas,AMETMP,,Share of forest area,Percent,1992,44.3693978505884
11780812,"Andorra, Principality of",AND,Europe,Carbon stocks in forests,Million tonnes,1992,1.3898
11780812,"Andorra, Principality of",AND,Europe,Forest area,1000 HA,1992,16.0
11780812,"Andorra, Principality of",AND,Europe,Index of carbon stocks in forests,Index,1992,100.0
11780812,"Andorra, Principality of",AND,Europe,Index of forest extent,Index,1992,100.0
11780812,"Andorra, Principality of",AND,Europe,Land area,1000 HA,1992,47.0
11780812,"Andorra, Principality of",AND,Europe,Share of forest area,Percent,1992,34.0425531914894
616788263,Angola,AGO,,Carbon stocks in forests,Million tonnes,1992,1364.2896
616788263,Angola,AGO,,Forest area,1000 HA,1992,78951.946
616788263,Angola,AGO,,Index of carbon stocks in forests,Index,1992,100.0
616788263,Angola,AGO,,Index of forest extent,Index,1992,100.0
616788263,Angola,AGO,,Land area,1000 HA,1992,124670.0
616788263,Angola,AGO,,Share of forest area,Percent,1992,63.328744685971
11366597,Anguilla,AIA,North America,Carbon stocks in forests,Million tonnes,1992,0.6954
11366597,Anguilla,AIA,North America,Forest area,1000 HA,1992,5.5
11366597,Anguilla,AIA,North America,Index of carbon stocks in forests,Index,1992,100.0
11366597,Anguilla,AIA,North America,Index of forest extent,Index,1992,100.0
11366597,Anguilla,AIA,North America,Land area,1000 HA,1992,9.0
11366597,Anguilla,AIA,North America,Share of forest area,Percent,1992,61.1111111111111
184005617,Antigua and Barbuda,ATG,North America,Carbon stocks in forests,Million tonnes,1992,1.2615
184005617,Antigua and Barbuda,ATG,North America,Forest area,1000 HA,1992,9.978
184005617,Antigua and Barbuda,ATG,North America,Index of carbon stocks in forests,Index,1992,100.0
184005617,Antigua and Barbuda,ATG,North America,Index of forest extent,Index,1992,100.0
184005617,Antigua and Barbuda,ATG,North America,Land area,1000 HA,1992,44.0
184005617,Antigua and Barbuda,ATG,North America,Share of forest area,Percent,1992,22.6772727272727
410001879,Argentina,ARG,South America,Carbon stocks in forests,Million tonnes,1992,3641.7913
410001879,Argentina,ARG,South America,Forest area,1000 HA,1992,34838.8
410001879,Argentina,ARG,South America,Index of carbon stocks in forests,Index,1992,100.0
410001879,Argentina,ARG,South America,Index of forest extent,Index,1992,100.0
410001879,Argentina,ARG,South America,Land area,1000 HA,1992,273669.0
410001879,Argentina,ARG,South America,Share of forest area,Percent,1992,12.7302690476451
772993578,"Armenia, Rep. of",ARM,Europe,Carbon stocks in forests,Million tonnes,1992,15.9489
772993578,"Armenia, Rep. of",ARM,Europe,Forest area,1000 HA,1992,334.312
772993578,"Armenia, Rep. of",ARM,Europe,Index of carbon stocks in forests,Index,1992,100.0
772993578,"Armenia, Rep. of",ARM,Europe,Index of forest extent,Index,1992,100.0
772993578,"Armenia, Rep. of",ARM,Europe,Land area,1000 HA,1992,2847.0
772993578,"Armenia, Rep. of",ARM,Europe,Share of forest area,Percent,1992,11.7426062521953
612694105,"Aruba, Kingdom of the Netherlands",ABW,North America,Forest area,1000 HA,1992,0.42
612694105,"Aruba, Kingdom of the Netherlands",ABW,North America,Index of forest extent,Index,1992,100.0
612694105,"Aruba, Kingdom of the Netherlands",ABW,North America,Land area,1000 HA,1992,18.0
612694105,"Aruba, Kingdom of the Netherlands",ABW,North America,Share of forest area,Percent,1992,2.33333333333333
389082453,Asia,ASIATMP,,Carbon stocks in forests,Million tonnes,1992,34188.386
389082453,Asia,ASIATMP,,Forest area,1000 HA,1992,585796.3952
389082453,Asia,ASIATMP,,Index of carbon stocks in forests,Index,1992,100.0
389082453,Asia,ASIATMP,,Index of forest extent,Index,1992,100.0
389082453,Asia,ASIATMP,,Land area,1000 HA,1992,3100389.8742
389082453,Asia,ASIATMP,,Share of forest area,Percent,1992,18.8942816538889
974872466,Australia,AUS,Oceania,Carbon stocks in forests,Million tonnes,1992,8425.8715
974872466,Australia,AUS,Oceania,Forest area,1000 HA,1992,133468.58
974872466,Australia,AUS,Oceania,Index of carbon stocks in forests,Index,1992,100.0
974872466,Australia,AUS,Oceania,Index of forest extent,Index,1992,100.0
974872466,Australia,AUS,Oceania,Land area,1000 HA,1992,768230.0
974872466,Australia,AUS,Oceania,Share of forest area,Percent,1992,17.3735183473699
411150762,Austria,AUT,Europe,Carbon stocks in forests,Million tonnes,1992,342.1532
411150762,Austria,AUT,Europe,Forest area,1000 HA,1992,3788.164
411150762,Austria,AUT,Europe,Index of carbon stocks in forests,Index,1992,100.0
411150762,Austria,AUT,Europe,Index of forest extent,Index,1992,100.0
411150762,Austria,AUT,Europe,Land area,1000 HA,1992,8252.0
411150762,Austria,AUT,Europe,Share of forest area,Percent,1992,45.9060106640814
131065448,"Azerbaijan, Rep. of",AZE,Europe,Forest area,1000 HA,1992,953.236
131065448,"Azerbaijan, Rep. of",AZE,Europe,Index of forest extent,Index,1992,100.0
131065448,"Azerbaijan, Rep. of",AZE,Europe,Land area,1000 HA,1992,8321.7
131065448,"Azerbaijan, Rep. of",AZE,Europe,Share of forest area,Percent,1992,11.4548229328142
493944164,"Bahamas, The",BHS,North America,Carbon stocks in forests,Million tonnes,1992,13.3532
493944164,"Bahamas, The",BHS,North America,Forest area,1000 HA,1992,509.86
493944164,"Bahamas, The",BHS,North America,Index of carbon stocks in forests,Index,1992,100.0
493944164,"Bahamas, The",BHS,North America,Index of forest extent,Index,1992,100.0
493944164,"Bahamas, The",BHS,North America,Land area,1000 HA,1992,1001.0
493944164,"Bahamas, The",BHS,North America,Share of forest area,Percent,1992,50.9350649350649
872456837,"Bahrain, Kingdom of",BHR,Asia,Forest area,1000 HA,1992,0.25
872456837,"Bahrain, Kingdom of",BHR,Asia,Index of forest extent,Index,1992,100.0
872456837,"Bahrain, Kingdom of",BHR,Asia,Land area,1000 HA,1992,71.0
872456837,"Bahrain, Kingdom of",BHR,Asia,Share of forest area,Percent,1992,0.352112676056338
885143958,Bangladesh,BGD,Asia,Carbon stocks in forests,Million tonnes,1992,83.5919
885143958,Bangladesh,BGD,Asia,Forest area,1000 HA,1992,1920.3296
885143958,Bangladesh,BGD,Asia,Index of carbon stocks in forests,Index,1992,100.0
885143958,Bangladesh,BGD,Asia,Index of forest extent,Index,1992,100.0
885143958,Bangladesh,BGD,Asia,Land area,1000 HA,1992,13017.0
885143958,Bangladesh,BGD,Asia,Share of forest area,Percent,1992,14.75247445648
994413009,Barbados,BRB,North America,Forest area,1000 HA,1992,6.3
994413009,Barbados,BRB,North America,Index of forest extent,Index,1992,100.0
994413009,Barbados,BRB,North America,Land area,1000 HA,1992,43.0
994413009,Barbados,BRB,North America,Share of forest area,Percent,1992,14.6511627906977
795198953,"Belarus, Rep. of",BLR,Europe,Carbon stocks in forests,Million tonnes,1992,416.0939
795198953,"Belarus, Rep. of",BLR,Europe,Forest area,1000 HA,1992,7878.6
795198953,"Belarus, Rep. of",BLR,Europe,Index of carbon stocks in forests,Index,1992,100.0
795198953,"Belarus, Rep. of",BLR,Europe,Index of forest extent,Index,1992,100.0
795198953,"Belarus, Rep. of",BLR,Europe,Land area,1000 HA,1992,20292.8
795198953,"Belarus, Rep. of",BLR,Europe,Share of forest area,Percent,1992,38.8246077426476
515550936,Belgium,BEL,Europe,Carbon stocks in forests,Million tonnes,1992,50.4721215708871
515550936,Belgium,BEL,Europe,Forest area,1000 HA,1992,673.813697612732
515550936,Belgium,BEL,Europe,Index of carbon stocks in forests,Index,1992,100.0
515550936,Belgium,BEL,Europe,Index of forest extent,Index,1992,100.0
515550936,Belgium,BEL,Europe,Land area,1000 HA,1992,3024.82402693576
515550936,Belgium,BEL,Europe,Share of forest area,Percent,1992,22.2761288462564
703159840,Belize,BLZ,North America,Carbon stocks in forests,Million tonnes,1992,193.3417
703159840,Belize,BLZ,North America,Forest area,1000 HA,1992,1571.884
703159840,Belize,BLZ,North America,Index of carbon stocks in forests,Index,1992,100.0
703159840,Belize,BLZ,North America,Index of forest extent,Index,1992,100.0
703159840,Belize,BLZ,North America,Land area,1000 HA,1992,2281.0
703159840,Belize,BLZ,North America,Share of forest area,Percent,1992,68.9120561157387
646658956,Benin,BEN,Africa,Carbon stocks in forests,Million tonnes,1992,274.2907
646658956,Benin,BEN,Africa,Forest area,1000 HA,1992,4695.15
646658956,Benin,BEN,Africa,Index of carbon stocks in forests,Index,1992,100.0
646658956,Benin,BEN,Africa,Index of forest extent,Index,1992,100.0
646658956,Benin,BEN,Africa,Land area,1000 HA,1992,11276.0
646658956,Benin,BEN,Africa,Share of forest area,Percent,1992,41.6384356154665
21499893,Bermuda,BMU,North America,Forest area,1000 HA,1992,1.0
21499893,Bermuda,BMU,North America,Index of forest extent,Index,1992,100.0
21499893,Bermuda,BMU,North America,Land area,1000 HA,1992,5.4
21499893,Bermuda,BMU,North America,Share of forest area,Percent,1992,18.5185185185185
491351691,Bhutan,BTN,Asia,Carbon stocks in forests,Million tonnes,1992,458.7504
491351691,Bhutan,BTN,Asia,Forest area,1000 HA,1992,2526.576
491351691,Bhutan,BTN,Asia,Index of carbon stocks in forests,Index,1992,100.0
491351691,Bhutan,BTN,Asia,Index of forest extent,Index,1992,100.0
491351691,Bhutan,BTN,Asia,Land area,1000 HA,1992,4672.3
491351691,Bhutan,BTN,Asia,Share of forest area,Percent,1992,54.0756372664426
846295359,Bolivia,BOL,South America,Carbon stocks in forests,Million tonnes,1992,4408.7595
846295359,Bolivia,BOL,South America,Forest area,1000 HA,1992,57264.054
846295359,Bolivia,BOL,South America,Index of carbon stocks in forests,Index,1992,100.0
846295359,Bolivia,BOL,South America,Index of forest extent,Index,1992,100.0
