forest_variable,continent,country,year,forest_unit,forest_powercode_code,forest_powercode,forest_value,forest_flags
Fellings,Oceania,Australia,1995,Cubic metres,3,Thousands,19560.0,
Fellings,Oceania,Australia,2000,Cubic metres,3,Thousands,24407.727,
Fellings,Oceania,Australia,2001,Cubic metres,3,Thousands,24474.0,
Fellings,Oceania,Australia,2002,Cubic metres,3,Thousands,24296.0,
Fellings,Oceania,Australia,2003,Cubic metres,3,Thousands,25819.0,
Fellings,Oceania,Australia,2004,Cubic metres,3,Thousands,26498.0,
Fellings,Oceania,Australia,2005,Cubic metres,3,Thousands,26998.358,
Fellings,Oceania,Australia,2006,Cubic metres,3,Thousands,26734.156,
Fellings,Oceania,Australia,2007,Cubic metres,3,Thousands,27192.006,
Fellings,Oceania,Australia,2008,Cubic metres,3,Thousands,28367.758,
Fellings,Oceania,Australia,2009,Cubic metres,3,Thousands,25798.803,
Fellings,Oceania,Australia,2010,Cubic metres,3,Thousands,25563.0,
Fellings,Oceania,Australia,2011,Cubic metres,3,Thousands,26532.0,
Fellings,Oceania,Australia,2012,Cubic metres,3,Thousands,23497.0,
Fellings,Oceania,Australia,2013,Cubic metres,3,Thousands,22580.0,
Fellings,Oceania,Australia,2014,Cubic metres,3,Thousands,25266.0,
Fellings,Oceania,Australia,2015,Cubic metres,3,Thousands,27290.0,
Fellings,Oceania,Australia,2016,Cubic metres,3,Thousands,30083.02,
Fellings,Oceania,Australia,2017,Cubic metres,3,Thousands,33206.18,
Fellings,Oceania,Australia,2018,Cubic metres,3,Thousands,32939.3,
Fellings,Oceania,Australia,2019,Cubic metres,3,Thousands,32599.47,
Fellings,Oceania,Australia,2020,Cubic metres,3,Thousands,29481.11,
Fellings,Oceania,Australia,2021,Cubic metres,3,Thousands,27097.154,
Fellings,Europe,Austria,1997,Cubic metres,3,Thousands,16986.0,
Fellings,Europe,Austria,2005,Cubic metres,3,Thousands,22942.0,
Fellings,Europe,Austria,2013,Cubic metres,3,Thousands,23222.0,
Fellings,Europe,Belgium,1995,Cubic metres,3,Thousands,4400.0,
Fellings,Europe,Belgium,2000,Cubic metres,3,Thousands,3457.0,
Fellings,Europe,Belgium,2005,Cubic metres,3,Thousands,4389.0,
Fellings,Europe,Belgium,2010,Cubic metres,3,Thousands,5230.195,
Fellings,Europe,Belgium,2012,Cubic metres,3,Thousands,5057.122,
Fellings,North America,Canada,1992,Cubic metres,3,Thousands,170131.0,
Fellings,North America,Canada,1993,Cubic metres,3,Thousands,175999.0,
Fellings,North America,Canada,1994,Cubic metres,3,Thousands,183261.0,
Fellings,North America,Canada,1995,Cubic metres,3,Thousands,188497.0,
Fellings,North America,Canada,1996,Cubic metres,3,Thousands,183375.0,
Fellings,North America,Canada,1997,Cubic metres,3,Thousands,188750.0,
Fellings,North America,Canada,1998,Cubic metres,3,Thousands,176957.0,
Fellings,North America,Canada,1999,Cubic metres,3,Thousands,199574.0,
Fellings,North America,Canada,2000,Cubic metres,3,Thousands,202372.0,
Fellings,North America,Canada,2001,Cubic metres,3,Thousands,187300.0,
Fellings,North America,Canada,2002,Cubic metres,3,Thousands,198231.0,
Fellings,North America,Canada,2003,Cubic metres,3,Thousands,184273.0,
Fellings,North America,Canada,2004,Cubic metres,3,Thousands,210871.0,
Fellings,North America,Canada,2005,Cubic metres,3,Thousands,205665.0,
Fellings,North America,Canada,2006,Cubic metres,3,Thousands,185359.0,
Fellings,North America,Canada,2007,Cubic metres,3,Thousands,165921.0,
Fellings,North America,Canada,2008,Cubic metres,3,Thousands,141397.0,
Fellings,North America,Canada,2009,Cubic metres,3,Thousands,118935.0,
Fellings,North America,Canada,2010,Cubic metres,3,Thousands,144309.0,
Fellings,North America,Canada,2011,Cubic metres,3,Thousands,157231.0,
Fellings,North America,Canada,2012,Cubic metres,3,Thousands,155593.0,
Fellings,North America,Canada,2013,Cubic metres,3,Thousands,155593.0,
Fellings,North America,Canada,2014,Cubic metres,3,Thousands,154915.0,
Fellings,North America,Canada,2015,Cubic metres,3,Thousands,160055.0,
Fellings,North America,Canada,2016,Cubic metres,3,Thousands,157232.0,
Fellings,North America,Canada,2017,Cubic metres,3,Thousands,153964.0,Estimated value
Fellings,North America,Canada,2018,Cubic metres,3,Thousands,156601.0,
Fellings,North America,Canada,2019,Cubic metres,3,Thousands,142169.0,
Fellings,Europe,Czech Republic,1992,Cubic metres,3,Thousands,10917.0,
Fellings,Europe,Czech Republic,1993,Cubic metres,3,Thousands,11533.0,
Fellings,Europe,Czech Republic,1994,Cubic metres,3,Thousands,13244.0,
Fellings,Europe,Czech Republic,1995,Cubic metres,3,Thousands,13704.0,
Fellings,Europe,Czech Republic,1996,Cubic metres,3,Thousands,13947.0,
Fellings,Europe,Czech Republic,1997,Cubic metres,3,Thousands,14952.0,
Fellings,Europe,Czech Republic,1998,Cubic metres,3,Thousands,15507.0,
Fellings,Europe,Czech Republic,1999,Cubic metres,3,Thousands,15741.0,
Fellings,Europe,Czech Republic,2000,Cubic metres,3,Thousands,16005.0,
Fellings,Europe,Czech Republic,2001,Cubic metres,3,Thousands,15931.0,
Fellings,Europe,Czech Republic,2002,Cubic metres,3,Thousands,16116.0,
Fellings,Europe,Czech Republic,2003,Cubic metres,3,Thousands,16780.0,
Fellings,Europe,Czech Republic,2004,Cubic metres,3,Thousands,17291.0,
Fellings,Europe,Czech Republic,2005,Cubic metres,3,Thousands,17190.0,
Fellings,Europe,Czech Republic,2006,Cubic metres,3,Thousands,19593.0,
Fellings,Europe,Czech Republic,2007,Cubic metres,3,Thousands,20513.0,
Fellings,Europe,Czech Republic,2008,Cubic metres,3,Thousands,17940.0,
Fellings,Europe,Czech Republic,2009,Cubic metres,3,Thousands,17179.0,
Fellings,Europe,Czech Republic,2010,Cubic metres,3,Thousands,18553.0,
Fellings,Europe,Czech Republic,2011,Cubic metres,3,Thousands,17047.0,
Fellings,Europe,Czech Republic,2012,Cubic metres,3,Thousands,16692.0,
Fellings,Europe,Czech Republic,2013,Cubic metres,3,Thousands,16991.0,
Fellings,Europe,Czech Republic,2014,Cubic metres,3,Thousands,17152.0,
Fellings,Europe,Czech Republic,2015,Cubic metres,3,Thousands,17913.0,
Fellings,Europe,Czech Republic,2016,Cubic metres,3,Thousands,19525.0,
Fellings,Europe,Czech Republic,2017,Cubic metres,3,Thousands,21487.0,
Fellings,Europe,Czech Republic,2018,Cubic metres,3,Thousands,28471.0,
Fellings,Europe,Czech Republic,2019,Cubic metres,3,Thousands,36115.0,
Fellings,Europe,Czech Republic,2020,Cubic metres,3,Thousands,39626.0,
Fellings,Europe,Czech Republic,2021,Cubic metres,3,Thousands,33533.0,
Fellings,,Denmark,1992,Cubic metres,3,Thousands,1666.0,
Fellings,,Denmark,1993,Cubic metres,3,Thousands,1546.0,
Fellings,,Denmark,1994,Cubic metres,3,Thousands,1611.0,
Fellings,,Denmark,1995,Cubic metres,3,Thousands,1675.0,
Fellings,,Denmark,1996,Cubic metres,3,Thousands,1632.0,
Fellings,,Denmark,1997,Cubic metres,3,Thousands,1580.0,
Fellings,,Denmark,1998,Cubic metres,3,Thousands,1487.0,
Fellings,,Denmark,1999,Cubic metres,3,Thousands,1492.0,
Fellings,,Denmark,2000,Cubic metres,3,Thousands,3193.0,
Fellings,,Denmark,2001,Cubic metres,3,Thousands,1559.0,
