ObjectId,forest_variable,continent,country,year,forest_unit,forest_powercode_code,forest_powercode,forest_value,forest_flags
834563931,Gross Increment,Europe,Austria,1997,Cubic metres,3,Thousands,30416.0,
723031734,Gross Increment,Europe,Austria,2005,Cubic metres,3,Thousands,29963.0,
414543541,Gross Increment,Europe,Austria,2013,Cubic metres,3,Thousands,28853.0,
210913621,Gross Increment,Europe,Belgium,2000,Cubic metres,3,Thousands,5289.0,
393577898,Gross Increment,Europe,Belgium,2005,Cubic metres,3,Thousands,5289.0,
152751912,Gross Increment,Europe,Belgium,2010,Cubic metres,3,Thousands,4951.334,
812000383,Gross Increment,Europe,Belgium,2012,Cubic metres,3,Thousands,4601.401,
374393447,Gross Increment,Europe,Czech Republic,1992,Cubic metres,3,Thousands,19503.0,
736407407,Gross Increment,Europe,Czech Republic,1993,Cubic metres,3,Thousands,19800.0,
858014301,Gross Increment,Europe,Czech Republic,1994,Cubic metres,3,Thousands,19739.0,
356081601,Gross Increment,Europe,Czech Republic,1995,Cubic metres,3,Thousands,19839.0,
254453739,Gross Increment,Europe,Czech Republic,1996,Cubic metres,3,Thousands,19949.0,
76647337,Gross Increment,Europe,Czech Republic,1997,Cubic metres,3,Thousands,20171.0,
793970509,Gross Increment,Europe,Czech Republic,1998,Cubic metres,3,Thousands,20393.0,
669591921,Gross Increment,Europe,Czech Republic,1999,Cubic metres,3,Thousands,20836.0,
823995453,Gross Increment,Europe,Czech Republic,2000,Cubic metres,3,Thousands,21944.0,
442123068,Gross Increment,Europe,Czech Republic,2001,Cubic metres,3,Thousands,22277.0,
529670228,Gross Increment,Europe,Czech Republic,2002,Cubic metres,3,Thousands,22332.0,
378951571,Gross Increment,Europe,Czech Republic,2003,Cubic metres,3,Thousands,22356.0,
684736195,Gross Increment,Europe,Czech Republic,2004,Cubic metres,3,Thousands,22548.0,
546080106,Gross Increment,Europe,Czech Republic,2005,Cubic metres,3,Thousands,22680.0,
829378390,Gross Increment,Europe,Czech Republic,2006,Cubic metres,3,Thousands,22804.0,
933874546,Gross Increment,Europe,Czech Republic,2007,Cubic metres,3,Thousands,22961.0,
798631891,Gross Increment,Europe,Czech Republic,2008,Cubic metres,3,Thousands,23083.0,
467918242,Gross Increment,Europe,Czech Republic,2009,Cubic metres,3,Thousands,23988.0,
43469915,Gross Increment,Europe,Czech Republic,2010,Cubic metres,3,Thousands,23539.0,
378513199,Gross Increment,Europe,Czech Republic,2011,Cubic metres,3,Thousands,23767.0,
385359032,Gross Increment,Europe,Czech Republic,2012,Cubic metres,3,Thousands,23909.0,
915927941,Gross Increment,Europe,Czech Republic,2013,Cubic metres,3,Thousands,24071.0,
952269967,Gross Increment,Europe,Czech Republic,2014,Cubic metres,3,Thousands,24209.0,
910488866,Gross Increment,Europe,Czech Republic,2015,Cubic metres,3,Thousands,24175.0,
174611370,Gross Increment,Europe,Czech Republic,2016,Cubic metres,3,Thousands,24380.0,
895545528,Gross Increment,Europe,Czech Republic,2017,Cubic metres,3,Thousands,24518.0,
138312573,Gross Increment,Europe,Czech Republic,2018,Cubic metres,3,Thousands,24750.0,
840486047,Gross Increment,Europe,Czech Republic,2019,Cubic metres,3,Thousands,24868.0,
932933051,Gross Increment,Europe,Czech Republic,2020,Cubic metres,3,Thousands,24805.0,
884420218,Gross Increment,Europe,Czech Republic,2021,Cubic metres,3,Thousands,24741.0,
82674711,Gross Increment,Europe,Denmark,1996,Cubic metres,3,Thousands,3200.0,
946592926,Gross Increment,Europe,Denmark,2000,Cubic metres,3,Thousands,5382.0,
859041488,Gross Increment,Europe,Denmark,2005,Cubic metres,3,Thousands,4854.6,
498538236,Gross Increment,Europe,Denmark,2010,Cubic metres,3,Thousands,5049.06,
88520734,Gross Increment,Europe,Denmark,2012,Cubic metres,3,Thousands,6711.0,
278390276,Gross Increment,Europe,Denmark,2013,Cubic metres,3,Thousands,6920.0,
436766933,Gross Increment,Europe,Denmark,2014,Cubic metres,3,Thousands,7708.0,
460785529,Gross Increment,Europe,Denmark,2015,Cubic metres,3,Thousands,7331.0,
515746378,Gross Increment,Europe,Denmark,2016,Cubic metres,3,Thousands,6797.0,
322426964,Gross Increment,Europe,Denmark,2017,Cubic metres,3,Thousands,6345.671,
125307668,Gross Increment,Europe,Denmark,2018,Cubic metres,3,Thousands,6495.0,
368005497,Gross Increment,Europe,Denmark,2019,Cubic metres,3,Thousands,5936.0,
801473788,Gross Increment,Europe,Denmark,2020,Cubic metres,3,Thousands,5773.0,
427894789,Gross Increment,Europe,Denmark,2021,Cubic metres,3,Thousands,6387.0,
457089878,Gross Increment,Europe,Finland,1992,Cubic metres,3,Thousands,80711.0,
889278380,Gross Increment,Europe,Finland,1993,Cubic metres,3,Thousands,81561.0,
