ObjectId,forest_variable,continent,country,year,forest_unit,forest_powercode_code,forest_powercode,forest_value,forest_flags
834563931,Natural losses,Europe,Austria,1997,Cubic metres,3,Thousands,2097.0,
723031734,Natural losses,Europe,Austria,2005,Cubic metres,3,Thousands,5200.0,
414543541,Natural losses,Europe,Austria,2013,Cubic metres,3,Thousands,5390.0,
356081601,Natural losses,Europe,Czech Republic,1995,Cubic metres,3,Thousands,2200.0,
88520734,Natural losses,Europe,Denmark,2012,Cubic metres,3,Thousands,352.0,
278390276,Natural losses,Europe,Denmark,2013,Cubic metres,3,Thousands,397.0,
436766933,Natural losses,Europe,Denmark,2014,Cubic metres,3,Thousands,424.0,
460785529,Natural losses,Europe,Denmark,2015,Cubic metres,3,Thousands,443.0,
515746378,Natural losses,Europe,Denmark,2016,Cubic metres,3,Thousands,473.0,
322426964,Natural losses,Europe,Denmark,2017,Cubic metres,3,Thousands,488.718,
125307668,Natural losses,Europe,Denmark,2018,Cubic metres,3,Thousands,513.0,
368005497,Natural losses,Europe,Denmark,2019,Cubic metres,3,Thousands,564.0,
801473788,Natural losses,Europe,Denmark,2020,Cubic metres,3,Thousands,591.0,
427894789,Natural losses,Europe,Denmark,2021,Cubic metres,3,Thousands,738.0,
457089878,Natural losses,Europe,Finland,1992,Cubic metres,3,Thousands,2766.0,
889278380,Natural losses,Europe,Finland,1993,Cubic metres,3,Thousands,2766.0,
226837520,Natural losses,Europe,Finland,1994,Cubic metres,3,Thousands,2766.0,
995598411,Natural losses,Europe,Finland,1995,Cubic metres,3,Thousands,2766.0,
98035577,Natural losses,Europe,Finland,1996,Cubic metres,3,Thousands,2766.0,
371613435,Natural losses,Europe,Finland,1997,Cubic metres,3,Thousands,3158.64,
123756247,Natural losses,Europe,Finland,1998,Cubic metres,3,Thousands,3552.98,
351460207,Natural losses,Europe,Finland,1999,Cubic metres,3,Thousands,3947.32,
554466587,Natural losses,Europe,Finland,2000,Cubic metres,3,Thousands,4341.66,
196282250,Natural losses,Europe,Finland,2001,Cubic metres,3,Thousands,5336.0,
290693541,Natural losses,Europe,Finland,2002,Cubic metres,3,Thousands,5336.0,
6078113,Natural losses,Europe,Finland,2003,Cubic metres,3,Thousands,5336.0,
660718255,Natural losses,Europe,Finland,2004,Cubic metres,3,Thousands,5336.0,
46286971,Natural losses,Europe,Finland,2005,Cubic metres,3,Thousands,5336.0,
559803339,Natural losses,Europe,Finland,2006,Cubic metres,3,Thousands,5336.0,
64682578,Natural losses,Europe,Finland,2007,Cubic metres,3,Thousands,5336.0,
297414227,Natural losses,Europe,Finland,2008,Cubic metres,3,Thousands,5624.517,
116817111,Natural losses,Europe,Finland,2009,Cubic metres,3,Thousands,6213.033,
330827630,Natural losses,Europe,Finland,2010,Cubic metres,3,Thousands,6501.548,
237067993,Natural losses,Europe,Finland,2011,Cubic metres,3,Thousands,6501.548,
443681278,Natural losses,Europe,Finland,2012,Cubic metres,3,Thousands,6501.548,
930595283,Natural losses,Europe,Finland,2013,Cubic metres,3,Thousands,6501.548,
678244443,Natural losses,Europe,Finland,2014,Cubic metres,3,Thousands,6301.548,
362542862,Natural losses,Europe,Finland,2015,Cubic metres,3,Thousands,6301.55,
138951911,Natural losses,Europe,Finland,2016,Cubic metres,3,Thousands,6301.55,
868381910,Natural losses,Europe,Finland,2017,Cubic metres,3,Thousands,6301.55,
138569451,Natural losses,Europe,Finland,2018,Cubic metres,3,Thousands,6301.55,
548602142,Natural losses,Europe,Finland,2019,Cubic metres,3,Thousands,6301.55,
953731222,Natural losses,Europe,Finland,2020,Cubic metres,3,Thousands,6301.55,
875514975,Natural losses,Europe,Finland,2021,Cubic metres,3,Thousands,6301.55,
148689896,Natural losses,Europe,France,1992,Cubic metres,3,Thousands,3964.0,
983593924,Natural losses,Europe,France,1993,Cubic metres,3,Thousands,3966.0,
18684067,Natural losses,Europe,France,1994,Cubic metres,3,Thousands,3960.0,
682781601,Natural losses,Europe,France,1995,Cubic metres,3,Thousands,3945.0,
135067707,Natural losses,Europe,France,1996,Cubic metres,3,Thousands,3917.0,
805299808,Natural losses,Europe,France,1997,Cubic metres,3,Thousands,3880.0,
271776161,Natural losses,Europe,France,1998,Cubic metres,3,Thousands,3841.0,
562032362,Natural losses,Europe,France,1999,Cubic metres,3,Thousands,3800.0,
545393663,Natural losses,Europe,France,2002,Cubic metres,3,Thousands,6787.0,Break
507983839,Natural losses,Europe,France,2003,Cubic metres,3,Thousands,6904.0,
146883438,Natural losses,Europe,France,2004,Cubic metres,3,Thousands,7007.0,
592840583,Natural losses,Europe,France,2009,Cubic metres,3,Thousands,8708.0,Break
125603026,Natural losses,Europe,France,2010,Cubic metres,3,Thousands,8655.0,
477013257,Natural losses,Europe,France,2011,Cubic metres,3,Thousands,8800.0,
340667604,Natural losses,Europe,France,2012,Cubic metres,3,Thousands,9126.0,
384702191,Natural losses,Europe,France,2013,Cubic metres,3,Thousands,9354.0,
119119973,Natural losses,Europe,France,2014,Cubic metres,3,Thousands,9768.0,
382759329,Natural losses,Europe,France,2015,Cubic metres,3,Thousands,10472.937,
161958236,Natural losses,Europe,France,2016,Cubic metres,3,Thousands,11217.946,
716974305,Natural losses,Europe,France,2017,Cubic metres,3,Thousands,12444.99,
60364700,Natural losses,Europe,France,2018,Cubic metres,3,Thousands,14100.83,
612734062,Natural losses,Europe,France,2019,Cubic metres,3,Thousands,15594.149,Break
773481361,Natural losses,Europe,France,2020,Cubic metres,3,Thousands,17442.448,
823394265,Natural losses,Europe,France,2021,Cubic metres,3,Thousands,18320.866,
946623217,Natural losses,Europe,Germany,1993,Cubic metres,3,Thousands,2841.0,
567104397,Natural losses,Europe,Germany,1994,Cubic metres,3,Thousands,2848.0,
