ObjectId,forest_variable,continent,country,year,forest_unit,forest_powercode_code,forest_powercode,forest_value,forest_flags
567426616,Net Increment,Europe,Greece,1992,Cubic metres,3,Thousands,3812.0,
774058822,Net Increment,Europe,Luxembourg,2011,Cubic metres,3,Thousands,626.0,Break
966031222,Net Increment,Europe,Luxembourg,2012,Cubic metres,3,Thousands,654.0,
524182543,Net Increment,Europe,Luxembourg,2013,Cubic metres,3,Thousands,696.0,
556328865,Net Increment,Europe,Luxembourg,2014,Cubic metres,3,Thousands,657.0,
931025972,Net Increment,Europe,Luxembourg,2015,Cubic metres,3,Thousands,696.0,
169879640,Net Increment,Europe,Luxembourg,2016,Cubic metres,3,Thousands,696.0,
580899541,Net Increment,Europe,Luxembourg,2017,Cubic metres,3,Thousands,696.0,
545157257,Net Increment,Europe,Luxembourg,2018,Cubic metres,3,Thousands,696.0,
329110894,Net Increment,Europe,Luxembourg,2019,Cubic metres,3,Thousands,696.0,
476860495,Net Increment,Europe,Luxembourg,2020,Cubic metres,3,Thousands,696.0,
28597936,Net Increment,Europe,Czech Republic,1995,Cubic metres,3,Thousands,17639.0,
415860583,Net Increment,Europe,Netherlands,1995,Cubic metres,3,Thousands,2612.0,
994027794,Net Increment,Europe,Netherlands,2000,Cubic metres,3,Thousands,2226.0,
881600122,Net Increment,Europe,Netherlands,2005,Cubic metres,3,Thousands,2738.0,
865168347,Net Increment,Europe,Netherlands,2010,Cubic metres,3,Thousands,2738.0,National estimates
342740496,Net Increment,Europe,Netherlands,2013,Cubic metres,3,Thousands,2556.0,
928108679,Net Increment,Europe,Netherlands,2017,Cubic metres,3,Thousands,2498.0,
455210284,Net Increment,Europe,Netherlands,2018,Cubic metres,3,Thousands,2487.0,
622106259,Net Increment,Europe,Netherlands,2019,Cubic metres,3,Thousands,2476.0,
770775146,Net Increment,Europe,Netherlands,2020,Cubic metres,3,Thousands,2466.0,
313250332,Net Increment,Europe,Finland,1992,Cubic metres,3,Thousands,77945.0,
900542153,Net Increment,Europe,Finland,1993,Cubic metres,3,Thousands,78795.0,
27154382,Net Increment,Europe,Finland,1994,Cubic metres,3,Thousands,79645.0,
106359827,Net Increment,Europe,Finland,1995,Cubic metres,3,Thousands,80495.0,
580709370,Net Increment,Europe,Finland,1996,Cubic metres,3,Thousands,81345.0,
509423257,Net Increment,Europe,Finland,1997,Cubic metres,3,Thousands,82734.07,
474198957,Net Increment,Europe,Finland,1998,Cubic metres,3,Thousands,84121.45,
987724592,Net Increment,Europe,Finland,1999,Cubic metres,3,Thousands,85508.82,
356016084,Net Increment,Europe,Finland,2000,Cubic metres,3,Thousands,86896.2,
315950407,Net Increment,Europe,Finland,2001,Cubic metres,3,Thousands,87683.57,
198337129,Net Increment,Europe,Finland,2002,Cubic metres,3,Thousands,89465.29,
76874432,Net Increment,Europe,Finland,2003,Cubic metres,3,Thousands,91247.0,
812729684,Net Increment,Europe,Finland,2004,Cubic metres,3,Thousands,91924.8,
763319478,Net Increment,Europe,Finland,2005,Cubic metres,3,Thousands,92602.6,
80339471,Net Increment,Europe,Finland,2006,Cubic metres,3,Thousands,93280.4,
597089078,Net Increment,Europe,Finland,2007,Cubic metres,3,Thousands,93958.2,
307460890,Net Increment,Europe,Finland,2008,Cubic metres,3,Thousands,94347.48,
396280552,Net Increment,Europe,Finland,2009,Cubic metres,3,Thousands,94358.77,
818991335,Net Increment,Europe,Finland,2010,Cubic metres,3,Thousands,94670.05,
915224099,Net Increment,Europe,Finland,2011,Cubic metres,3,Thousands,95269.85,
610906171,Net Increment,Europe,Finland,2012,Cubic metres,3,Thousands,95869.65,
506116379,Net Increment,Europe,Finland,2013,Cubic metres,3,Thousands,96469.45,
661993054,Net Increment,Europe,Finland,2014,Cubic metres,3,Thousands,95471.95,
941155633,Net Increment,Europe,Finland,2015,Cubic metres,3,Thousands,94274.45,
152095484,Net Increment,Europe,Finland,2016,Cubic metres,3,Thousands,93076.95,
168763020,Net Increment,Europe,Finland,2017,Cubic metres,3,Thousands,91879.45,
236781893,Net Increment,Europe,Finland,2018,Cubic metres,3,Thousands,91879.45,
517985413,Net Increment,Europe,Finland,2019,Cubic metres,3,Thousands,91879.45,
216566365,Net Increment,Europe,Finland,2020,Cubic metres,3,Thousands,91879.45,
692004052,Net Increment,Europe,Norway,1995,Cubic metres,3,Thousands,24068.0,
132291007,Net Increment,Europe,Norway,2000,Cubic metres,3,Thousands,26176.0,
518074715,Net Increment,Europe,Norway,2005,Cubic metres,3,Thousands,27388.0,
278806909,Net Increment,Europe,Norway,2006,Cubic metres,3,Thousands,26812.0,
547952069,Net Increment,Europe,Norway,2007,Cubic metres,3,Thousands,25659.0,
623738426,Net Increment,Europe,Norway,2008,Cubic metres,3,Thousands,25342.0,
268274139,Net Increment,Europe,Norway,2009,Cubic metres,3,Thousands,25439.0,
503635435,Net Increment,Europe,Norway,2010,Cubic metres,3,Thousands,25746.0,
