ObjectId,forest_variable,continent,country,year,forest_unit,forest_powercode_code,forest_powercode,forest_value,forest_flags
355326432,Fellings,Oceania,Australia,1995,Cubic metres,3,Thousands,19560.0,
233496709,Fellings,Oceania,Australia,2000,Cubic metres,3,Thousands,24407.727,
308222627,Fellings,Oceania,Australia,2001,Cubic metres,3,Thousands,24474.0,
708618701,Fellings,Oceania,Australia,2002,Cubic metres,3,Thousands,24296.0,
26281503,Fellings,Oceania,Australia,2003,Cubic metres,3,Thousands,25819.0,
984097326,Fellings,Oceania,Australia,2004,Cubic metres,3,Thousands,26498.0,
329438783,Fellings,Oceania,Australia,2005,Cubic metres,3,Thousands,26998.358,
901375038,Fellings,Oceania,Australia,2006,Cubic metres,3,Thousands,26734.156,
784369224,Fellings,Oceania,Australia,2007,Cubic metres,3,Thousands,27192.006,
866836940,Fellings,Oceania,Australia,2008,Cubic metres,3,Thousands,28367.758,
282973923,Fellings,Oceania,Australia,2009,Cubic metres,3,Thousands,25798.803,
850418187,Fellings,Oceania,Australia,2010,Cubic metres,3,Thousands,25563.0,
412781657,Fellings,Oceania,Australia,2011,Cubic metres,3,Thousands,26532.0,
796303474,Fellings,Oceania,Australia,2012,Cubic metres,3,Thousands,23497.0,
789697870,Fellings,Oceania,Australia,2013,Cubic metres,3,Thousands,22580.0,
885735360,Fellings,Oceania,Australia,2014,Cubic metres,3,Thousands,25266.0,
293082000,Fellings,Oceania,Australia,2015,Cubic metres,3,Thousands,27290.0,
744201093,Fellings,Oceania,Australia,2016,Cubic metres,3,Thousands,30083.02,
772962928,Fellings,Oceania,Australia,2017,Cubic metres,3,Thousands,33206.18,
271611232,Fellings,Oceania,Australia,2018,Cubic metres,3,Thousands,32939.3,
119551614,Fellings,Oceania,Australia,2019,Cubic metres,3,Thousands,32599.47,
890829623,Fellings,Oceania,Australia,2020,Cubic metres,3,Thousands,29481.11,
814011706,Fellings,Oceania,Australia,2021,Cubic metres,3,Thousands,27097.154,
902374102,Fellings,Europe,Austria,1997,Cubic metres,3,Thousands,16986.0,
526708231,Fellings,Europe,Austria,2005,Cubic metres,3,Thousands,22942.0,
531488004,Fellings,Europe,Austria,2013,Cubic metres,3,Thousands,23222.0,
822206180,Fellings,Europe,Belgium,1995,Cubic metres,3,Thousands,4400.0,
929168767,Fellings,Europe,Belgium,2000,Cubic metres,3,Thousands,3457.0,
71761491,Fellings,Europe,Belgium,2005,Cubic metres,3,Thousands,4389.0,
261797609,Fellings,Europe,Belgium,2010,Cubic metres,3,Thousands,5230.195,
435163795,Fellings,Europe,Belgium,2012,Cubic metres,3,Thousands,5057.122,
963826624,Fellings,North America,Canada,1992,Cubic metres,3,Thousands,170131.0,
297095493,Fellings,North America,Canada,1993,Cubic metres,3,Thousands,175999.0,
857279285,Fellings,North America,Canada,1994,Cubic metres,3,Thousands,183261.0,
109292380,Fellings,North America,Canada,1995,Cubic metres,3,Thousands,188497.0,
85508497,Fellings,North America,Canada,1996,Cubic metres,3,Thousands,183375.0,
130363961,Fellings,North America,Canada,1997,Cubic metres,3,Thousands,188750.0,
924413933,Fellings,North America,Canada,1998,Cubic metres,3,Thousands,176957.0,
840413890,Fellings,North America,Canada,1999,Cubic metres,3,Thousands,199574.0,
66244731,Fellings,North America,Canada,2000,Cubic metres,3,Thousands,202372.0,
430993745,Fellings,North America,Canada,2001,Cubic metres,3,Thousands,187300.0,
354839174,Fellings,North America,Canada,2002,Cubic metres,3,Thousands,198231.0,
850642626,Fellings,North America,Canada,2003,Cubic metres,3,Thousands,184273.0,
