ObjectId,country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
91264441,Australia,Oceania,Total abstractions of reused water,2001,Cubic metres,6,Millions,506.92,
435582420,Australia,Oceania,Total abstractions of reused water,2005,Cubic metres,6,Millions,424.615,
415802382,Australia,Oceania,Total abstractions of reused water,2009,Cubic metres,6,Millions,327.0,
736233665,Australia,Oceania,Total abstractions of reused water,2010,Cubic metres,6,Millions,340.0,
16766311,Australia,Oceania,Total abstractions of reused water,2011,Cubic metres,6,Millions,351.0,
750869736,Australia,Oceania,Total abstractions of reused water,2015,Cubic metres,6,Millions,326.302,Break
986082760,Australia,Oceania,Total abstractions of reused water,2016,Cubic metres,6,Millions,333.79,
45486650,Australia,Oceania,Total abstractions of reused water,2017,Cubic metres,6,Millions,312.585,
422466347,Australia,Oceania,Total abstractions of reused water,2018,Cubic metres,6,Millions,318.069,
170840115,Australia,Oceania,Total abstractions of reused water,2019,Cubic metres,6,Millions,326.575,
169699768,Australia,Oceania,Total abstractions of reused water,2020,Cubic metres,6,Millions,308.125,
517295107,Australia,Oceania,Total abstractions of reused water,2021,Cubic metres,6,Millions,297.307,
237067993,Finland,Europe,Total abstractions of reused water,2011,Cubic metres,6,Millions,0.0,
550260379,Japan,Asia,Total abstractions of reused water,1995,Cubic metres,6,Millions,110.0,
761985672,Japan,Asia,Total abstractions of reused water,2000,Cubic metres,6,Millions,140.0,
188294618,Japan,Asia,Total abstractions of reused water,2001,Cubic metres,6,Millions,190.0,
902794186,Japan,Asia,Total abstractions of reused water,2002,Cubic metres,6,Millions,220.0,
310673337,Japan,Asia,Total abstractions of reused water,2003,Cubic metres,6,Millions,190.0,
951621277,Japan,Asia,Total abstractions of reused water,2004,Cubic metres,6,Millions,190.0,
113482567,Japan,Asia,Total abstractions of reused water,2005,Cubic metres,6,Millions,200.0,
367166320,Japan,Asia,Total abstractions of reused water,2006,Cubic metres,6,Millions,194.0,
814089455,Japan,Asia,Total abstractions of reused water,2007,Cubic metres,6,Millions,203.0,
199604862,Japan,Asia,Total abstractions of reused water,2008,Cubic metres,6,Millions,194.0,
566043555,Japan,Asia,Total abstractions of reused water,2009,Cubic metres,6,Millions,203.0,
