ObjectId,country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
361870135,Belgium,Europe,Total gross abstraction non-freshwater,1992,Cubic metres,6,Millions,0.0,
305687335,Belgium,Europe,Total gross abstraction non-freshwater,1993,Cubic metres,6,Millions,0.0,
708795992,Belgium,Europe,Total gross abstraction non-freshwater,1994,Cubic metres,6,Millions,0.0,
444047526,Belgium,Europe,Total gross abstraction non-freshwater,1995,Cubic metres,6,Millions,0.0,
437462782,Belgium,Europe,Total gross abstraction non-freshwater,1996,Cubic metres,6,Millions,0.0,
538924428,Belgium,Europe,Total gross abstraction non-freshwater,1997,Cubic metres,6,Millions,0.0,
725688778,Belgium,Europe,Total gross abstraction non-freshwater,1998,Cubic metres,6,Millions,0.0,
286147771,Belgium,Europe,Total gross abstraction non-freshwater,1999,Cubic metres,6,Millions,0.0,
210913621,Belgium,Europe,Total gross abstraction non-freshwater,2000,Cubic metres,6,Millions,0.0,
681881159,Belgium,Europe,Total gross abstraction non-freshwater,2001,Cubic metres,6,Millions,0.0,
155864980,Belgium,Europe,Total gross abstraction non-freshwater,2002,Cubic metres,6,Millions,0.0,
129291575,Belgium,Europe,Total gross abstraction non-freshwater,2003,Cubic metres,6,Millions,0.0,
70500901,Belgium,Europe,Total gross abstraction non-freshwater,2004,Cubic metres,6,Millions,0.0,
393577898,Belgium,Europe,Total gross abstraction non-freshwater,2005,Cubic metres,6,Millions,0.0,
588535279,Belgium,Europe,Total gross abstraction non-freshwater,2006,Cubic metres,6,Millions,0.0,
63866262,Belgium,Europe,Total gross abstraction non-freshwater,2007,Cubic metres,6,Millions,0.0,
123307988,Belgium,Europe,Total gross abstraction non-freshwater,2008,Cubic metres,6,Millions,0.0,
609485041,Belgium,Europe,Total gross abstraction non-freshwater,2009,Cubic metres,6,Millions,0.0,
152751912,Belgium,Europe,Total gross abstraction non-freshwater,2010,Cubic metres,6,Millions,0.0,
994719406,Belgium,Europe,Total gross abstraction non-freshwater,2011,Cubic metres,6,Millions,0.0,
812000383,Belgium,Europe,Total gross abstraction non-freshwater,2012,Cubic metres,6,Millions,0.0,
928069503,Belgium,Europe,Total gross abstraction non-freshwater,2013,Cubic metres,6,Millions,0.0,
520883875,Belgium,Europe,Total gross abstraction non-freshwater,2014,Cubic metres,6,Millions,0.0,
