ObjectId,country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
308222627,Australia,Oceania,Public water supply - non-freshwater,2001,Cubic metres,6,Millions,0.253,
329438783,Australia,Oceania,Public water supply - non-freshwater,2005,Cubic metres,6,Millions,0.231,
282973923,Australia,Oceania,Public water supply - non-freshwater,2009,Cubic metres,6,Millions,33.0,
850418187,Australia,Oceania,Public water supply - non-freshwater,2010,Cubic metres,6,Millions,77.0,
412781657,Australia,Oceania,Public water supply - non-freshwater,2011,Cubic metres,6,Millions,121.0,
293082000,Australia,Oceania,Public water supply - non-freshwater,2015,Cubic metres,6,Millions,144.152,Break
744201093,Australia,Oceania,Public water supply - non-freshwater,2016,Cubic metres,6,Millions,148.908,
772962928,Australia,Oceania,Public water supply - non-freshwater,2017,Cubic metres,6,Millions,202.822,
271611232,Australia,Oceania,Public water supply - non-freshwater,2018,Cubic metres,6,Millions,171.693,
119551614,Australia,Oceania,Public water supply - non-freshwater,2019,Cubic metres,6,Millions,131.636,
329438783,Australia,Oceania,Electricity production (cooling). Non-freshwater,2005,Cubic metres,6,Millions,5927.76,
308222627,Australia,Oceania,Total abstractions of reused water,2001,Cubic metres,6,Millions,506.92,
329438783,Australia,Oceania,Total abstractions of reused water,2005,Cubic metres,6,Millions,424.615,
282973923,Australia,Oceania,Total abstractions of reused water,2009,Cubic metres,6,Millions,327.0,
850418187,Australia,Oceania,Total abstractions of reused water,2010,Cubic metres,6,Millions,340.0,
412781657,Australia,Oceania,Total abstractions of reused water,2011,Cubic metres,6,Millions,351.0,
293082000,Australia,Oceania,Total abstractions of reused water,2015,Cubic metres,6,Millions,326.302,Break
744201093,Australia,Oceania,Total abstractions of reused water,2016,Cubic metres,6,Millions,333.79,
772962928,Australia,Oceania,Total abstractions of reused water,2017,Cubic metres,6,Millions,312.585,
271611232,Australia,Oceania,Total abstractions of reused water,2018,Cubic metres,6,Millions,318.069,
119551614,Australia,Oceania,Total abstractions of reused water,2019,Cubic metres,6,Millions,326.575,
890829623,Australia,Oceania,Total abstractions of reused water,2020,Cubic metres,6,Millions,308.125,
814011706,Australia,Oceania,Total abstractions of reused water,2021,Cubic metres,6,Millions,297.307,
308222627,Australia,Oceania,Abstractions for manufacturing. Reused water,2001,Cubic metres,6,Millions,7.474,
329438783,Australia,Oceania,Abstractions for manufacturing. Reused water,2005,Cubic metres,6,Millions,13.035,
282973923,Australia,Oceania,Abstractions for manufacturing. Reused water,2009,Cubic metres,6,Millions,27.0,
850418187,Australia,Oceania,Abstractions for manufacturing. Reused water,2010,Cubic metres,6,Millions,30.0,
412781657,Australia,Oceania,Abstractions for manufacturing. Reused water,2011,Cubic metres,6,Millions,32.0,
293082000,Australia,Oceania,Abstractions for manufacturing. Reused water,2015,Cubic metres,6,Millions,28.194,Break
744201093,Australia,Oceania,Abstractions for manufacturing. Reused water,2016,Cubic metres,6,Millions,30.193,
772962928,Australia,Oceania,Abstractions for manufacturing. Reused water,2017,Cubic metres,6,Millions,23.842,
271611232,Australia,Oceania,Abstractions for manufacturing. Reused water,2018,Cubic metres,6,Millions,18.807,
119551614,Australia,Oceania,Abstractions for manufacturing. Reused water,2019,Cubic metres,6,Millions,22.077,
890829623,Australia,Oceania,Abstractions for manufacturing. Reused water,2020,Cubic metres,6,Millions,23.174,
814011706,Australia,Oceania,Abstractions for manufacturing. Reused water,2021,Cubic metres,6,Millions,25.288,
308222627,Australia,Oceania,Total losses during transport,2001,Cubic metres,6,Millions,2117.01,
329438783,Australia,Oceania,Total losses during transport,2005,Cubic metres,6,Millions,2022.07,
282973923,Australia,Oceania,Total losses during transport,2009,Cubic metres,6,Millions,2206.0,
850418187,Australia,Oceania,Total losses during transport,2010,Cubic metres,6,Millions,1805.0,
412781657,Australia,Oceania,Total losses during transport,2011,Cubic metres,6,Millions,1430.0,
282973923,Australia,Oceania,Public water supply,2009,Cubic metres,6,Millions,3453.0,
850418187,Australia,Oceania,Public water supply,2010,Cubic metres,6,Millions,3196.0,
412781657,Australia,Oceania,Public water supply,2011,Cubic metres,6,Millions,2952.0,
796303474,Australia,Oceania,Public water supply,2012,Cubic metres,6,Millions,4686.0,
789697870,Australia,Oceania,Public water supply,2013,Cubic metres,6,Millions,5390.0,
885735360,Australia,Oceania,Public water supply,2014,Cubic metres,6,Millions,5308.0,
293082000,Australia,Oceania,Public water supply,2015,Cubic metres,6,Millions,3453.454,Break
744201093,Australia,Oceania,Public water supply,2016,Cubic metres,6,Millions,3528.959,
772962928,Australia,Oceania,Public water supply,2017,Cubic metres,6,Millions,3423.44,
271611232,Australia,Oceania,Public water supply,2018,Cubic metres,6,Millions,3633.213,
119551614,Australia,Oceania,Public water supply,2019,Cubic metres,6,Millions,3717.863,
890829623,Australia,Oceania,Public water supply,2020,Cubic metres,6,Millions,3630.976,
814011706,Australia,Oceania,Public water supply,2021,Cubic metres,6,Millions,3557.135,
282973923,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2009,Cubic metres,6,Millions,239.0,
850418187,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2010,Cubic metres,6,Millions,251.0,
412781657,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2011,Cubic metres,6,Millions,179.0,
796303474,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2012,Cubic metres,6,Millions,435.0,
789697870,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2013,Cubic metres,6,Millions,615.0,
885735360,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2014,Cubic metres,6,Millions,515.0,
293082000,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2015,Cubic metres,6,Millions,591.447,Break
744201093,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2016,Cubic metres,6,Millions,631.17,
772962928,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2017,Cubic metres,6,Millions,562.623,
271611232,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2018,Cubic metres,6,Millions,640.291,
119551614,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2019,Cubic metres,6,Millions,673.973,
890829623,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2020,Cubic metres,6,Millions,642.874,
814011706,Australia,Oceania,"Public water supply for agriculture, forestry and fishing",2021,Cubic metres,6,Millions,644.711,
282973923,Australia,Oceania,Public water supply for mining and quarrying,2009,Cubic metres,6,Millions,72.0,
850418187,Australia,Oceania,Public water supply for mining and quarrying,2010,Cubic metres,6,Millions,36.0,
412781657,Australia,Oceania,Public water supply for mining and quarrying,2011,Cubic metres,6,Millions,34.0,
796303474,Australia,Oceania,Public water supply for mining and quarrying,2012,Cubic metres,6,Millions,44.0,
789697870,Australia,Oceania,Public water supply for mining and quarrying,2013,Cubic metres,6,Millions,37.0,
885735360,Australia,Oceania,Public water supply for mining and quarrying,2014,Cubic metres,6,Millions,39.0,
293082000,Australia,Oceania,Public water supply for mining and quarrying,2015,Cubic metres,6,Millions,35.011,Break
744201093,Australia,Oceania,Public water supply for mining and quarrying,2016,Cubic metres,6,Millions,37.428,
772962928,Australia,Oceania,Public water supply for mining and quarrying,2017,Cubic metres,6,Millions,40.692,
271611232,Australia,Oceania,Public water supply for mining and quarrying,2018,Cubic metres,6,Millions,43.757,
119551614,Australia,Oceania,Public water supply for mining and quarrying,2019,Cubic metres,6,Millions,49.585,
890829623,Australia,Oceania,Public water supply for mining and quarrying,2020,Cubic metres,6,Millions,57.561,
814011706,Australia,Oceania,Public water supply for mining and quarrying,2021,Cubic metres,6,Millions,46.709,
282973923,Australia,Oceania,Public water supply for total manufacturing,2009,Cubic metres,6,Millions,297.0,
850418187,Australia,Oceania,Public water supply for total manufacturing,2010,Cubic metres,6,Millions,328.0,
412781657,Australia,Oceania,Public water supply for total manufacturing,2011,Cubic metres,6,Millions,291.0,
796303474,Australia,Oceania,Public water supply for total manufacturing,2012,Cubic metres,6,Millions,276.0,
789697870,Australia,Oceania,Public water supply for total manufacturing,2013,Cubic metres,6,Millions,265.0,
885735360,Australia,Oceania,Public water supply for total manufacturing,2014,Cubic metres,6,Millions,279.0,
293082000,Australia,Oceania,Public water supply for total manufacturing,2015,Cubic metres,6,Millions,237.089,Break
744201093,Australia,Oceania,Public water supply for total manufacturing,2016,Cubic metres,6,Millions,226.519,
772962928,Australia,Oceania,Public water supply for total manufacturing,2017,Cubic metres,6,Millions,230.836,
271611232,Australia,Oceania,Public water supply for total manufacturing,2018,Cubic metres,6,Millions,226.634,
