country,land_variable,mean,median,std,min,max,count
Afghanistan,Permanent meadows and pastures,195742.00003333332,44827.2,252033.73932373073,1.853,652860.0,300
Albania,Forest,8364.999969999999,5821.5,10376.840461187105,15.146,28750.0,300
Algeria,Other areas,714532.0720366667,49821.665,1010788.9929412035,0.663,2381741.0,300
American Samoa,Forest % land area,70.0,17.240000000000002,83.9433036684239,0.0,200.0,300
Andorra,Arable land and permanent crops,151.00007,63.4045,171.83819829242384,1.596,470.0,300
Angola,Permanent meadows and pastures,374020.00067333336,43350.0,493394.9456036002,0.968,1246700.0,300
Anguilla,Forest,61.666666666666664,58.055499999999995,21.97093804940857,35.0,90.0,180
Antigua and Barbuda,Total area,142.00004333333334,53.434,164.43806354776638,9.091,440.0,300
Argentina,Arable and cropland % land area,825387.997,322706.0,1042360.3780720411,10.16,2780400.0,300
Armenia,Arable land and permanent crops,8678.000006666667,4086.56,10922.411359365697,11.53,29740.0,300
Aruba,Forest % land area,80.0,53.278,75.91460602181704,2.333,180.0,240
Australia,Arable land and permanent crops,2310980.8100133333,809265.5,2965827.9567451556,2.135,7741220.0,300
Austria,Forest % land area,24901.899996666667,14310.0,31321.259795486545,14.663,83879.0,300
Azerbaijan,Other areas,25225.45346333333,15790.485,31459.565328153243,11.455,86600.0,300
Bahamas,Total area,3400.0,65.4675,4764.669290667535,0.2,13880.0,300
Bahrain,Forest,233.21666333333332,40.5,316.4566382627039,0.352,790.0,300
Bangladesh,Meadows and pastures % land area,40868.22332333333,8328.0,55492.289615126036,4.609,148460.0,300
Barbados,Forest,138.99998333333335,62.5465,158.6167037766819,4.651,430.0,300
Belarus,Meadows and pastures % land area,61349.86698,29693.004999999997,76953.04155648853,12.092,207630.0,300
Belgium,Forest,9118.999986363637,6016.5,11250.88104268886,15.456,30530.0,220
Belgo-Luxembourg Economic Union,Permanent meadows and pastures,9886.000025,6914.6,12224.605341551054,16.271,33120.0,80
Belize,Other % land area,6868.99999,685.0,9120.794494564354,2.148,22970.0,300
Benin,Permanent meadows and pastures,34038.00006,11475.0,42845.588857043906,4.878,114760.0,300
Bermuda,Land area,191.60007083333332,29.2595,811.034442033811,3.0,4290.0,240
Bhutan,Meadows and pastures % land area,11814.13997,2680.0,15838.051565147434,2.622,47000.0,300
Bolivia,Forest % land area,326528.00324333337,101213.23499999999,418646.35592120944,2.152,1098580.0,300
Bosnia and Herzegovina,Other areas,15371.000013333332,9342.574,19115.003701496604,13.068,51210.0,300
Botswana,Total area,171528.99996333334,63294.5,219219.96988409807,0.325,581730.0,300
Brazil,Arable and cropland % land area,2523215.0193433333,620560.0,3335281.089190801,2.682,8515770.0,300
British Virgin Islands,Total area,54.99995666666667,33.333,48.56602422618702,13.333,150.0,300
Brunei Darussalam,Land area,1641.0,78.8805,2259.877811470513,0.626,5770.0,300
Bulgaria,Other areas,32965.6,18290.0,40997.20870282827,12.564,111000.0,300
Burkina Faso,Forest % land area,82152.00001666666,60000.0,101461.9040321775,12.54,274220.0,300
Burundi,Arable land and permanent crops,7928.999943333333,2730.0,10276.356291302454,7.218,27830.0,300
Cabo Verde,Meadows and pastures % land area,1218.9999699999998,250.0,1628.4705126003882,5.024,4030.0,300
Cambodia,Total area,53418.00016666667,15554.425,69400.00548806587,3.966,181040.0,300
Cameroon,Forest,142096.00002333333,45800.0,180922.1999360845,4.231,475440.0,300
Canada,Total area,2799105.9753233334,296693.5,3755797.7882259334,2.088,15634410.0,300
Cayman Islands,Land area,84.40001666666667,44.375,91.99090354318749,2.917,264.0,300
Central African Republic,Arable land and permanent crops,186904.00003333332,24760.0,245329.91560391473,3.026,622980.0,300
Chad,Permanent meadows and pastures,380249.9998,50910.0,500851.32115547743,2.676,1284000.0,300
Chile,Total area,224338.08309,57448.185,292685.79365646176,2.312,756700.0,300
China (People's Republic of),Land area,2844950.303323333,1486586.0,3556389.013958442,13.651,9600013.0,300
Chinese Taipei,Land area,17813.333333333332,17705.0,15575.921592255952,22.225,35960.0,180
Colombia,Other areas,336077.4369533333,44035.0,442051.91440398863,1.31,1141750.0,300
Comoros,Forest % land area,568.2999933333333,150.0,724.2144169832679,7.078,1861.0,300
Congo,Other areas,102510.00005,10060.0,137219.0436717242,1.517,342000.0,300
Cook Islands,Total area,102.49999166666666,64.896,89.83651756273225,7.917,240.0,240
Costa Rica,Total area,15331.999986666668,4672.9794999999995,19865.66200736951,0.953,51100.0,300
Croatia,Forest,17801.876643333333,9040.0,23487.23738184673,4.525,88073.0,300
Cuba,Arable land and permanent crops,32203.413333333334,19893.0,40223.67047940054,7.1,109890.0,300
Cyprus,Forest % land area,2783.0133333333333,569.9125,3699.718861771784,0.108,9251.0,300
Czech Republic,Land area,23345.495899999998,9635.0,29249.78787596197,10.448,78871.04,290
Democratic People's Republic of Korea,Arable land and permanent crops,36146.00000666667,12650.0,46563.33207881387,0.415,120540.0,300
Democratic Republic of the Congo,Total area,687906.0006533334,168990.0,908982.1341875345,3.286,2344860.0,300
Denmark,Arable land and permanent crops,12301.999996666666,4687.360000000001,16139.71296479682,4.675,42920.0,300
Djibouti,Land area,6966.000023333333,58.918,9528.677218392186,0.065,23200.0,300
Dominica,Meadows and pastures % land area,235.00007666666667,63.827,292.730705734623,2.667,750.0,300
Dominican Republic,Forest,15505.113006666666,8847.97,22234.588180184037,3.617,146839.3,300
Ecuador,Arable land and permanent crops,77002.00035999999,30025.0,98787.1615636772,9.478,283560.0,300
Egypt,Forest % land area,374056.2527416667,15309.6,474886.8268782273,0.045,1001450.0,240
El Salvador,Other % land area,6257.999986666667,3058.1,7857.2935763662845,2.926,21040.0,300
Equatorial Guinea,Permanent meadows and pastures,8425.00002,136.38549999999998,12364.92270960182,0.102,28050.0,300
Eritrea,Forest,34711.22594137931,8720.5,46041.526468607364,3.673,121690.9,290
Estonia,Other areas,13055.100026666667,4323.0,16921.114893148046,1.581,45340.0,300
Eswatini,Arable and cropland % land area,5186.000003333334,1117.16,6795.886424229544,0.685,17360.0,300
Ethiopia,Forest % land area,328383.7738482758,173462.5,420527.8200108776,10.449,1136244.0,290
Faeroe Islands,Arable land and permanent crops,505.51888333333335,49.948,1164.8183917085291,0.046,12960.0,300
Falkland Islands (Malvinas),Permanent meadows and pastures,4576.250020833333,99.01400000000001,5705.96371748686,0.0,12170.0,240
Fiji,Arable and cropland % land area,5491.0,1730.0,7092.288425661357,7.586,18270.0,300
Finland,Forest % land area,94688.27088666667,11230.0,131007.47267307214,0.069,338470.0,300
France,Arable land and permanent crops,164433.88577333334,96196.01000000001,203541.57348354958,16.191,549387.0,300
French Polynesia,Land area,1075.4866833333333,215.0,1372.9224780044758,5.464,4000.0,300
Gabon,Arable land and permanent crops,78311.00020666666,2875.2165,115495.00177575364,0.0,267670.0,300
Gambia,Forest % land area,3163.999983333333,1870.0,4017.0444625483215,6.008,11300.0,300
Georgia,Total area,20878.000013333334,11116.9,26072.813937429743,6.225,69700.0,300
Germany,Total area,105522.06670000001,57339.0,131433.23741594845,13.245,357590.0,300
Ghana,Forest,69371.80664666666,35129.979999999996,87488.64999201368,0.0,238540.0,300
Gibraltar,Total area,21.666666666666668,10.0,35.4145442457485,0.0,100.0,180
Greece,Other % land area,38986.00001333334,28626.0,48644.22015455378,1.85,131960.0,300
Greenland,Forest,149634.37504583332,1236.7085,193572.41514802442,0.001,410450.0,240
Grenada,Arable land and permanent crops,112.0,52.059,124.18363468212256,2.941,340.0,300
Guadeloupe,Permanent meadows and pastures,510.29998333333333,250.0,619.1461537126975,11.834,1700.0,300
Guam,Other % land area,172.00002333333333,80.0,195.69502181325691,14.815,540.0,300
Guatemala,Permanent meadows and pastures,32330.999989999997,19100.0,40106.20615765016,15.159,108890.0,300
Guinea,Land area,73740.00005,36055.0,92333.26541946984,13.472,245860.0,300
Guinea-Bissau,Meadows and pastures % land area,9247.000023333334,702.2005,13101.748612371626,0.0,36130.0,300
Guyana,Forest % land area,60877.00009666666,3268.0024999999996,90848.48103946833,0.4,214970.0,300
Haiti,Other areas,8296.99996,3812.175,10456.886027874436,11.573,27750.0,300
Holy See,Total area,16.886666666666667,0.44,37.27361551295797,0.0,100.0,180
Honduras,Arable and cropland % land area,33637.00004666667,14280.0,43648.95487659764,6.4,112490.0,300
"Hong Kong, China",Permanent meadows and pastures,410.6707875,80.95949999999999,491.1666880881583,0.952,1110.0,240
Hungary,Total area,27366.2,10886.1,35043.8379055782,8.027,93030.0,300
Iceland,Forest,30375.466706666666,865.0165,42896.1028960923,0.196,103000.0,300
India,Forest,923374.0020166667,288318.25,1215000.7856754055,3.449,3287260.0,300
Indonesia,Other areas,563306.61468,182570.0,726562.759114046,5.812,1916907.0,300
Iran,Forest % land area,500068.3353333333,135248.15,660871.6879304013,5.603,1745150.0,300
Iraq,Arable land and permanent crops,130901.03335333332,23375.0,181517.01523297373,1.845,438320.0,300
Ireland,Other areas,20816.00000666667,5219.25,27094.447986794148,5.747,70280.0,300
Israel,Forest,6545.000016666666,1448.0,8735.654859632898,6.007,22070.0,300
Italy,Permanent meadows and pastures,89255.27033666667,50093.5,110957.19882436517,10.286,302069.0,300
Jamaica,Meadows and pastures % land area,3274.9999966666664,1456.25,4156.375312235719,5.43,10990.0,300
Japan,Other % land area,110702.74333666667,24600.0,149118.67746156445,0.85,377974.0,300
Jordan,Land area,26606.459983333334,1594.0,38383.01428594535,1.098,89320.0,300
Kazakhstan,Arable land and permanent crops,812440.1864066666,159746.595,1092305.2444757954,1.142,2724902.0,300
Kenya,Forest % land area,171875.00019333334,45560.95,220147.57950912984,6.189,580370.0,300
Kiribati,Arable land and permanent crops,316.25,198.284,325.02559269081684,1.457,810.0,240
Korea,Permanent meadows and pastures,29384.866666666665,5200.0,39283.11419516757,0.57,100430.0,300
Kuwait,Total area,5356.000043333333,91.539,7856.221490158541,0.209,17820.0,300
Kyrgyzstan,Land area,58364.97328333333,13420.1,75595.57479442231,5.971,199950.0,300
Lao People's Democratic Republic,Other areas,69849.99997,8450.0,95920.1951169385,2.933,236800.0,300
Latvia,Land area,18914.813413333333,8005.0,24276.462209090794,7.754,64594.0,300
Lebanon,Other areas,3101.00002,1718.5,3837.448275471852,13.426,10450.0,300
Lesotho,Permanent meadows and pastures,9118.0,1287.6,12137.618014800104,1.137,30360.0,300
Liberia,Other % land area,30410.999996666666,3108.899,43674.63809987834,0.437,111370.0,300
Libya,Permanent meadows and pastures,527871.9999933334,11335.0,775496.7128547975,0.123,1759540.0,300
Liechtenstein,Land area,58.00003666666666,34.05,53.00047702424934,10.813,160.0,300
Lithuania,Total area,19072.953336666666,8759.0,23997.90665040462,7.339,65300.0,300
Luxembourg,Arable and cropland % land area,783.8920181818182,523.73,949.4439339187993,14.053,2590.0,220
"Macau, China",Total area,45.15,29.9,32.07141191442737,20.0,100.0,120
Madagascar,Arable land and permanent crops,175050.35039666668,39635.994999999995,230565.24558315217,5.795,587295.0,300
Malawi,Total area,30713.99994333333,18400.0,40047.97942022859,12.498,118480.0,300
Malaysia,Arable and cropland % land area,98788.96022333334,25529.045,129231.91483365787,0.852,330800.0,300
Maldives,Meadows and pastures % land area,99.99991999999999,42.8335,117.19199106468814,2.733,300.0,300
Mali,Forest,368067.00003,108935.0,478838.3466585845,1.846,1240190.0,300
Malta,Other areas,132.50006249999998,79.3595,125.99935273928959,1.094,320.0,240
